CHEMBL_ID,SMILES
CHEMBL508861,n1nc(CCl)n2ccc(c3c12)nc(c(c3)-c4ccccc4)-c(cc5)ccc5CN(CC6)CCC6c(n[nH]7)nc7-c8ccccn8
CHEMBL3672076,OCc1c(OC)nn(c12)cc(-c3c(F)cccc3F)c(n2)-c(cc4)ccc4CN(CC5)CCC5c(n[nH]6)nc6-c7ccccn7
CHEMBL3672051,COC(=O)c1cnn(c12)cc(-c3c(F)cccc3F)c(n2)-c(cc4)ccc4CN(CC5)CCC5c(n[nH]6)nc6-c7ccccn7
CHEMBL448926,n1ccccc1-c2nnc([nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c57)nc(nc7)-n8ccnc8
CHEMBL180058,c1cccc(c12)n(c(n2)O)C3CCN(CC3)Cc4ccc(cc4)-c(n5)c(-c6ccccc6)nc(c57)ccc(c7)-c8nnn(n8)C
CHEMBL3672080,n1ccccc1-c([nH]n2)nc2C3CN(C3)Cc4ccc(cc4)-c(n5)c(-c6ccccc6)c(NC)n(c57)nc(n7)-c8ccccn8
CHEMBL3640745,CC(C)(C)C(=O)N1CCN(CC1)c(ccc2)cc2-c(cc3)nc(c34)n(c(n4)-c5c(N)nccc5)-c(cc6)ccc6C7(N)CCC7
CHEMBL3684483,FC(F)(F)c1cc(ccc1)NC(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
CHEMBL3987000,COC(=O)c1ccc(cc1)-c2c(N)ncnc2N(CC3)CCC3c(n4)n(CCN5CCC5)cc4-c(c6)ccc(F)c6C(F)(F)F
CHEMBL3960331,O=C(O)c1ccc(cc1)-c2c(N)ncnc2N(CC3)CCC3c(n4)n(CCN5CCCC5)cc4-c(c6)ccc(F)c6C(F)(F)F
CHEMBL508794,n1ccccc1-c2cn(cn2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c5c78)ccn8c(N)nn7
CHEMBL506077,n1ccccc1-c2nc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c5c78)ccn8c(nn7)O
CHEMBL271091,c1cccc(c12)[nH]c(=O)n2C3CCN(CC3)Cc4ccc(cc4)-c(c(n5)-c6ccccc6)nc(c57)ccc(c7)-c8nn[nH]n8
CHEMBL408151,c1cccc(c12)[nH]c(=O)n2C3CCN(CC3)Cc4ccc(cc4)-c(n5)c(-c6ccccc6)nc(c57)ccc(c7)-c8nn[nH]n8
CHEMBL3672074,OCc1c(OC)nn(c12)cc(-c3c(F)cccc3F)c(n2)-c(cc4)ccc4CN(C5)CC5c6nc([nH]n6)-c(n7)cccc7C
CHEMBL502854,n1ccccc1-c2nc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c5c78)ccn8c(nn7)S
CHEMBL3672028,COC(=O)c1cnn(c12)cc(-c3c(F)cccc3F)c(n2)-c(cc4)ccc4CN(C5)CC5c6nc([nH]n6)-c(n7)cccc7C
CHEMBL3672057,C1CC1c(n2)nn(c23)cc(-c4ccc(F)cc4)c(n3)-c(cc5)ccc5CN(CC6)CCC6c(n[nH]7)nc7-c(n8)cccc8C
CHEMBL3672059,n1ccc(Cl)cc1-c2nc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(n5)c(-c6ccc(F)cc6)cn(c57)nc(n7)C8CC8
CHEMBL499555,n1ccccc1-c2nc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c5c78)ccn8c(N)nn7
CHEMBL445464,n1ccccc1-c2nc(n[nH]2)C3CCN(CC3)Cc4ccc(cc4)-c(c(c5)-c6ccccc6)nc(c5c78)ccn8c(C)nn7
CHEMBL3684480,c1ccc(OC)cc1CNC(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
CHEMBL3907965,FC(F)(F)c1c(F)ccc(c1)-c2cn(CCN3CCCC3)c(n2)C4CCN(CC4)c5ncnc(N)c5-c6cc(F)c(F)cc6
CHEMBL3932445,FC(F)(F)c1c(F)ccc(c1)-c2cn(CCN3CCCCC3)c(n2)C4CCN(CC4)c5ncnc(N)c5-c6ccc(F)cc6
CHEMBL3977191,FC(F)(F)c1c(F)ccc(c1)-c2cn(CCN3CCCCC3)c(n2)C4CCN(CC4)c5ncnc(N)c5-c6c(F)cccc6
CHEMBL3947929,FC(F)(F)c1c(F)ccc(c1)-c2cn(CCN3CCCCC3)c(n2)C4CCN(CC4)c5ncnc(N)c5-c6cc(F)ccc6
CHEMBL379576,CCC1C(=O)Nc(c12)ccc(c2)N[C@@H](Cc3c[nH]c(c34)cccc4)COc(cnc5)cc5-c(c6)ccc(c67)NC(=O)C7CC
CHEMBL3640743,C1CC1C(=O)N2CCN(CC2)c(ccc3)cc3-c(cc4)nc(c45)n(c(n5)-c6c(N)nccc6)-c(cc7)ccc7C8(N)CCC8
CHEMBL3640738,CN(C)C(=O)C1CCN(CC1)c(ccc2)cc2-c(cc3)nc(c34)n(c(n4)-c5c(N)nccc5)-c(cc6)ccc6C7(N)CCC7
CHEMBL574476,c1cccc(c12)[nH]c(=O)n2C3CCN(CC3)Cc4ccc(cc4)-c(c(n5)-c6ccccc6)nc(c57)ccc(c7)-n8cnnn8
CHEMBL574289,c1cccc(c12)[nH]c(=O)n2C3CCN(CC3)Cc4ccc(cc4)-c(n5)c(-c6ccccc6)nc(c57)ccc(c7)-n8cnnn8
CHEMBL3684486,CCCc1c(cccc1)NC(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
CHEMBL3684455,COC(=O)c1c(ccs1)S(=O)(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
CHEMBL3937511,COC(=O)c1ccc(cc1)-c2c(N)ncnc2N(CC3)CCC3c(n4)n(CCN(C)C)cc4-c(c5)ccc(F)c5C(F)(F)F
CHEMBL3904383,CC(C)(O)c1ccc(cc1)-c2c(N)ncnc2N(CC3)CCC3c(n4)n(CCN(C)C)cc4-c(c5)ccc(F)c5C(F)(F)F
CHEMBL3640744,CC(C)C(=O)N1CCN(CC1)c(ccc2)cc2-c(cc3)nc(c34)n(c(n4)-c5c(N)nccc5)-c(cc6)ccc6C7(N)CCC7
CHEMBL3684484,C1COc(c12)ccc(c2)NC(=O)NC3CCN(CC3)Cc4ccc(cc4)-c(nn5)n6c(cccn7)c7Nc(c8c56)cccc8
CHEMBL211011,CC1(C)C(=O)Nc(c12)ccc(c2)N[C@@H](Cc3c[nH]c(c34)cccc4)COc(cnc5)cc5-c(c6)ccc(c67)NC(=O)C7(C)C
CHEMBL212067,c1cccc(c12)[nH]cc2C[C@H](Nc(c3)ccc(c34)NC(=O)C4(F)F)COc(cnc5)cc5-c(c6)ccc(c67)NC(=O)C7(F)F
CHEMBL376959,O=Nc1c(O)[nH]c(c12)ccc(c2)N[C@@H](Cc3c[nH]c(c34)cccc4)COc(cnc5)cc5-c(c6)ccc(c67)[nH]c(O)c7N=O
CHEMBL3684493,COc(c1)ccc(c1C)NC(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
CHEMBL3684475,Cc1cc(c(cc1)OC)NC(=O)NC2CCN(CC2)Cc3ccc(cc3)-c(nn4)n5c(cccn6)c6Nc(c7c45)cccc7
