CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL3932074,N#Cc1c(N)ncnc1N1CCN([C@H](C[NH3+])c2ccc(C(F)(F)F)cc2)CC1,-9.633
CHEMBL320415,C[N@H+](CCCNc1ccc2ncn3c4ccccc4c(=[OH+])c1c23)CCCNc1ccc2[nH+]cn3c4ccccc4c(=[OH+])c1c23,-9.468
CHEMBL377531,COCCCN1CCCc2ccc(OC[C@H]3C[NH2+]CC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21,-9.297
CHEMBL597008,COc1ccccc1CC1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1,-9.239
CHEMBL276300,CC(=O)N[C@@H](Cc1ccc(CP(=O)([O-])O)cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(=O)NCCCc2cccc3ccc(O)cc23)CCCCC1,-9.235
CHEMBL3828258,Nc1ncnc2c1ncn2C[C@@H]1[NH2+][C@H](CO)[C@@H](O)[C@H]1O,-9.233
CHEMBL2163917,C=C(C(N)=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)c1ccoc1,-9.204
CHEMBL3103862,Nc1ccc(-c2ccncc2)nc1C(=O)Nc1c[nH+]ccc1N1CCC[C@H]([NH3+])C1,-8.948
CHEMBL572170,Cc1c[nH]c2ncnc(N3CCN(C(=O)Nc4cccc(C(=O)NC(C)C)c4)[C@@H](C)C3)c12,-8.928
CHEMBL1618223,O=P([O-])(OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O,-8.855
CHEMBL381930,O=C(OC[C@H]1OC[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,-8.852
CHEMBL4165347,Nc1n[nH]c2ccc(NC(=O)CCC[NH3+])cc12,-8.804
CHEMBL3927704,C[NH+](C)Cc1cc(C(=O)N2CCC(N3CC(CC#N)(n4cc(-c5ncnc6[nH]ccc56)cn4)C3)CC2)cc(C(F)F)c1,-8.793
CHEMBL1835318,CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@H](C(=O)N1CC[C@H](c2ccccc2)[C@H]1C(=O)N[C@H]1CC(=O)O[C@H]1O)C(C)C)C(C)C,-8.762
CHEMBL19519,[NH3+]C[C@H]1O[C@@H](O[C@@H](C[NH2+]CCc2cccc(C(F)(F)F)c2)[C@@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,-8.752
CHEMBL3621564,Cc1cn([C@@H]2O[C@H](C[NH3+])[C@@H](O)[C@H]2O)c(=O)[nH]c1=O,-8.718
CHEMBL1183122,[NH3+]C[C@H]1O[C@@H](O[C@@H](C[NH2+]CCCn2ccnc2)[C@@H]2C[C@@H](O)[C@H](n3ccc(=O)[nH]c3=O)O2)[C@H](O)[C@@H]1O,-8.705
CHEMBL2093112,Nc1ncnc2c1ncn2[C@@H]1O[C@H](/C=N/O)[C@@H](O)[C@@H]1O,-8.648
CHEMBL77042,CO/N=C(\CN(C)C(=O)c1cc(Cl)cc(Cl)c1)[C@H](CC[NH+]1CCC(n2c(=O)n(CC(=O)[O-])c3ccccc32)CC1)c1ccc(Cl)c(Cl)c1,-8.601
CHEMBL1162034,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)[N-]C(=O)c2cc(Cl)ccc2O)[C@@H](O)[C@H]1O,-8.565
CHEMBL290717,Nc1nc(/C(=N/OCc2cc(=O)c(O)cn2[O-])C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nncs4)SC[C@H]23)cs1,-8.535
CHEMBL3976301,COc1cc(C(=O)NCc2cccc(OC(F)(F)F)c2)ccc1-c1cn[nH]c1,-8.518
CHEMBL507011,COc1cc(O[C@@H]2O[C@H](COC(=O)c3ccc(O[C@@H]4O[C@H](COC(=O)c5cc(OC)c(O)c(OC)c5)[C@@H](O)[C@H](O)[C@H]4O)c(OC)c3)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,-8.507
CHEMBL2432065,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1cc(CNC(=O)[C@@H]([NH3+])Cc2ccc(O)cc2)nn1)C(=O)[O-],-8.485
CHEMBL4079234,C[NH+](C)[C@H]1CC[C@H](Oc2ncnc3ccc([N+](=O)[O-])cc23)CC1,-8.416
CHEMBL3963611,CCOc1ccc(C[C@@H](NC(=O)c2cccnc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(C[NH3+])cc2)cc1,-8.41
CHEMBL1923519,O=C(N/N=C/c1ccc(-c2ccc(F)cc2F)o1)c1ccccc1S[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,-8.409
CHEMBL105328,c1cc2c3c(cccc3c1)[C@@H](c1c[nH]c[nH+]1)CC2,-8.406
CHEMBL2349526,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,-8.405
CHEMBL446806,CS(=O)(=O)[N-]C(=O)c1ccc(-c2ccc(CC[NH2+]C[C@H](O)c3c[nH+]ccc3N)cc2)cc1OC1CCCCC1,-8.367
CHEMBL3627982,COc1cc(/C=C/C(=O)/C=C/c2ccc(Cl)cc2)ccc1OCc1cn(CCN2C(=O)C(=O)c3cc(Br)ccc32)nn1,-8.334
CHEMBL4213041,Nc1nccc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)[N-]C(=O)C[NH3+])[C@@H](O)[C@H]1O,-8.318
CHEMBL4082470,Cc1nc(N2CCOCC2)ncc1-c1cccc(COC(=O)NC(N)=[NH2+])c1F,-8.221
CHEMBL3932696,COc1ccccc1-c1cn(CC(=O)/[NH+]=C(/N)N[C@H]2C=C(C(=O)[O-])O[C@@H]([C@H](O)[C@H](O)CO)[C@@H]2NC(C)=O)nn1,-8.213
CHEMBL4109783,C[C@H](CF)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,-8.212
CHEMBL3697086,COc1cc(C[N@@H+](C[C@H]2CC[C@H](C(=O)[O-])CC2)[C@H](C)c2ccc3c(c2)CCO3)ccc1[C@@H]1C[C@H]1CN1C(=O)CCC1=O,-8.19
CHEMBL3221783,COc1ccc(C[N@@H+]2C[C@H]2COc2cccc3cnccc23)cc1,-8.173
CHEMBL431629,CC(C)C[C@H](NS(=O)(=O)C[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(=O)[O-],-8.151
CHEMBL2333910,CCOc1ccc(C[C@H]([NH3+])c2nc3ccc(-c4cn[nH]c4)cc3c(=O)[nH]2)cc1,-8.135
CHEMBL4103698,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccc(F)cc2)C1,-8.133
CHEMBL1813519,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc21,-8.129
CHEMBL3126901,CN(C)c1ncnc2c1c(-c1cccs1)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-8.106
CHEMBL3715000,OCC[C@@H]1CCCN(c2ncnc3[nH]c4ccc(O)cc4c23)C1,-8.086
CHEMBL3943023,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccsc3)CC2)C1,-8.084
CHEMBL464185,Cc1cc(-n2ccc(-n3cc[nH]c3=O)n2)c2c(n1)N(c1ccc(C(F)(F)F)cc1C(F)(F)F)CC2,-8.076
CHEMBL4169832,Nc1n[nH]c2ccc(NC(=O)[C@H]3CC[C@@H]([NH3+])CC3)cc12,-8.058
CHEMBL3732113,NC(=O)c1ccc(NCC(=O)N/N=C/c2c(Cl)cncc2Cl)cc1,-8.049
CHEMBL2359725,Cc1cccc(C)c1N(CCCc1cccnc1)C(=O)[C@H](C)[NH3+],-8.03
CHEMBL228111,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=S)[nH]1,-8.027
CHEMBL1081436,Cc1ccc(C(=O)Nc2cccc3cnccc23)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,-8.019
CHEMBL1215514,NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccc(-c2cccc(O)c2)c1,-8.019
CHEMBL3675442,C[NH+](C)C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,-8.017
CHEMBL3394750,Cc1ccccc1C[NH2+]C[C@@H](O)CN1CN(c2ccccc2)C2(CC[NH+](CCc3ccccc3-c3cccs3)CC2)C1=O,-8.013
CHEMBL3290151,C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4ccc5ccccc5c4)ccc3C)cn2)c1,-8
CHEMBL4076738,FC(F)(F)c1ccc2c(NCC[NH+]3CCC(COc4ccc5c(NCCCc6ccccc6)nc[nH+]c5c4)CC3)ccnc2c1,-7.998
CHEMBL492866,COc1cccc(CC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@H](C=O)CCCNC(N)=[NH2+])c1,-7.987
CHEMBL2005910,O[C@H](c1cc2ccccc2[nH]1)C(O)(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,-7.971
CHEMBL3923945,O=C([O-])C1CN(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)C1,-7.947
CHEMBL3455179,CC(=O)c1cccc(NC(=O)NCCc2ncn[nH]2)c1,-7.94
CHEMBL450476,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCCC[C@H]1NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1,-7.934
CHEMBL1161307,C[C@@H](O)[C@H](NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H]([S-])[C@@H]([NH3+])CCC(=O)ON)C(=O)N[C@@H](CO)C(=O)[O-],-7.927
CHEMBL3222273,COc1cc2ccccc2nc1COc1ccc(-c2c(-c3ccncc3)cnn2C)cc1,-7.925
CHEMBL210071,CNc1nccc(-c2ccc(C(=O)NCCc3ccccc3Cl)s2)n1,-7.919
CHEMBL2355545,O=C(NCc1cccc(Cl)c1)c1ccc(-n2cncn2)c2ccoc12,-7.918
CHEMBL2397385,C[N@@H+]1CCc2ccc(Cc3ccc(O)c4ccccc34)c3c2[C@H]1Cc1ccc(O)c(O)c1-3,-7.917
CHEMBL3965875,Cc1sc(C(=O)N[C@H](C[NH3+])Cc2cccc(F)c2)cc1-c1c(Cl)cnn1C,-7.913
CHEMBL165312,NC(=[NH2+])c1cccc(-c2cc3ccc(C(N)=[NH2+])cc3[nH]2)c1,-7.912
CHEMBL4204387,Cn1cnc2ccc(-c3ccnc4[nH]ccc34)cc21,-7.905
CHEMBL91573,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,-7.904
CHEMBL2113326,O=C(N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1-c1ccccc1)C1CC[NH2+]CC1,-7.902
CHEMBL3272970,O=c1nccc2n([C@@H](CO)OC(CO)CO)ccn12,-7.9
