DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_037538,-10.8
MOL_02_034697,-10.603
MOL_02_015514,-10.55
MOL_02_033292,-10.513
MOL_02_034107,-10.385
MOL_02_009815,-10.278
MOL_02_018026,-10.22
MOL_02_013706,-10.188
MOL_02_009783,-10.174
MOL_01_030091,-10.057
MOL_02_017700,-10.056
MOL_02_009744,-10.029
MOL_02_009326,-10.004
MOL_02_009835,-9.952
MOL_01_031295,-9.941
MOL_02_009945,-9.937
MOL_02_023489,-9.926
MOL_02_009761,-9.921
MOL_02_000496,-9.908
MOL_02_034109,-9.865
MOL_01_026467,-9.847
MOL_02_009702,-9.79
MOL_01_030056,-9.781
MOL_01_027820,-9.687
MOL_01_024595,-9.684
MOL_01_030681,-9.677
MOL_02_015378,-9.676
MOL_02_008350,-9.619
MOL_01_025351,-9.616
MOL_01_027955,-9.613
MOL_01_030524,-9.594
MOL_02_035850,-9.585
MOL_02_024246,-9.577
MOL_02_019447,-9.577
MOL_02_032565,-9.565
MOL_02_009548,-9.564
MOL_02_008766,-9.532
MOL_01_031718,-9.532
MOL_02_009750,-9.513
MOL_02_009587,-9.508
MOL_01_026672,-9.489
MOL_01_028275,-9.468
MOL_02_009355,-9.457
MOL_02_009549,-9.444
MOL_01_016284,-9.438
MOL_02_030820,-9.432
MOL_02_034523,-9.417
MOL_02_009662,-9.416
MOL_01_029206,-9.412
MOL_02_024422,-9.407
MOL_01_026112,-9.404
MOL_01_027205,-9.4
MOL_02_025697,-9.385
MOL_02_036379,-9.382
MOL_01_032736,-9.378
MOL_01_027648,-9.363
MOL_02_007866,-9.338
MOL_02_034492,-9.324
MOL_02_009767,-9.318
MOL_02_022275,-9.315
MOL_02_009775,-9.304
MOL_02_033063,-9.303
MOL_01_031450,-9.297
MOL_02_024085,-9.271
MOL_02_023375,-9.265
MOL_01_029898,-9.246
MOL_02_026593,-9.244
MOL_02_009056,-9.23
MOL_02_009416,-9.228
MOL_02_009184,-9.225
MOL_02_025751,-9.221
MOL_02_008884,-9.208
MOL_02_009173,-9.207
MOL_01_032245,-9.198
MOL_01_028752,-9.197
MOL_02_009560,-9.194
MOL_02_027809,-9.192
MOL_02_009644,-9.192
MOL_02_033147,-9.182
MOL_02_017998,-9.17
MOL_01_029228,-9.158
MOL_01_026927,-9.156
MOL_01_029476,-9.144
MOL_02_002683,-9.138
MOL_02_009330,-9.138
MOL_01_029023,-9.134
MOL_02_009438,-9.133
MOL_02_022598,-9.129
MOL_01_030159,-9.125
MOL_02_033532,-9.116
MOL_02_007893,-9.115
MOL_02_037550,-9.106
MOL_02_036325,-9.105
MOL_02_005832,-9.103
MOL_02_031271,-9.099
MOL_02_002197,-9.085
MOL_02_012734,-9.084
MOL_01_031915,-9.082
MOL_02_023691,-9.08
MOL_02_016364,-9.066
MOL_02_027323,-9.063
MOL_02_010056,-9.063
MOL_02_009557,-9.059
MOL_01_027371,-9.055
MOL_02_033089,-9.052
MOL_01_028998,-9.052
MOL_02_000546,-9.051
MOL_01_029375,-9.051
MOL_02_009074,-9.047
MOL_01_031717,-9.037
MOL_02_010040,-9.035
MOL_02_035909,-9.034
MOL_02_035867,-9.032
MOL_01_024540,-9.029
MOL_01_030587,-9.004
MOL_02_024932,-9.004
MOL_01_029844,-8.998
MOL_02_015940,-8.994
MOL_02_018033,-8.991
MOL_01_030041,-8.991
MOL_02_007991,-8.99
MOL_01_031092,-8.983
MOL_02_030892,-8.979
MOL_02_020509,-8.974
MOL_02_009642,-8.967
MOL_02_021162,-8.963
MOL_02_018366,-8.961
MOL_02_017955,-8.956
MOL_02_019873,-8.955
MOL_01_032339,-8.951
MOL_01_029931,-8.947
MOL_02_022518,-8.946
MOL_01_026950,-8.935
MOL_02_003276,-8.934
MOL_02_032341,-8.933
MOL_01_028777,-8.929
MOL_01_030316,-8.927
MOL_02_024431,-8.924
MOL_01_026852,-8.92
MOL_01_032140,-8.918
MOL_02_015696,-8.918
MOL_02_009063,-8.912
MOL_02_019881,-8.91
MOL_02_009898,-8.909
MOL_01_028287,-8.907
MOL_02_010049,-8.906
MOL_02_007352,-8.905
MOL_02_006136,-8.898
MOL_02_006763,-8.895
MOL_02_009071,-8.884
MOL_01_025423,-8.883
MOL_02_004412,-8.882
MOL_01_026645,-8.876
MOL_02_009625,-8.872
MOL_01_032262,-8.87
MOL_02_006297,-8.866
MOL_02_010046,-8.865
MOL_01_031407,-8.862
MOL_01_024838,-8.858
MOL_02_023800,-8.857
MOL_02_018364,-8.857
MOL_02_026342,-8.857
MOL_01_028081,-8.855
MOL_02_030799,-8.854
MOL_01_025288,-8.852
MOL_02_009025,-8.85
MOL_02_034296,-8.845
MOL_02_002049,-8.839
MOL_02_002560,-8.838
MOL_02_004842,-8.836
MOL_02_000944,-8.834
MOL_02_019613,-8.833
MOL_02_036135,-8.832
MOL_02_027224,-8.825
MOL_01_031176,-8.822
MOL_02_031336,-8.815
MOL_02_009374,-8.814
MOL_02_019648,-8.814
MOL_02_009838,-8.812
MOL_01_029648,-8.811
MOL_02_025971,-8.807
MOL_02_009643,-8.8
MOL_01_029651,-8.799
MOL_01_031123,-8.798
MOL_02_002475,-8.793
MOL_02_002674,-8.793
MOL_01_029696,-8.792
MOL_02_009623,-8.791
MOL_02_033357,-8.785
MOL_02_018700,-8.784
MOL_01_027722,-8.779
MOL_02_005216,-8.777
MOL_02_020454,-8.775
MOL_02_009200,-8.774
MOL_02_009493,-8.773
MOL_01_026941,-8.771
MOL_02_029419,-8.77
MOL_02_030877,-8.769
MOL_02_009369,-8.761
MOL_02_023131,-8.761
MOL_02_016695,-8.761
MOL_01_029323,-8.76
MOL_02_009851,-8.76
MOL_02_002505,-8.758
MOL_02_014703,-8.758
MOL_01_030043,-8.757
MOL_02_011904,-8.757
MOL_02_035901,-8.755
MOL_01_025289,-8.754
MOL_02_032261,-8.753
MOL_02_009002,-8.753
MOL_02_009201,-8.753
MOL_02_009903,-8.748
MOL_02_029980,-8.745
MOL_01_025906,-8.738
MOL_02_009854,-8.737
MOL_02_019339,-8.736
MOL_02_026624,-8.733
MOL_01_032249,-8.732
MOL_02_006671,-8.732
MOL_02_036021,-8.731
MOL_02_027682,-8.729
MOL_02_009532,-8.717
MOL_02_004044,-8.71
MOL_02_021970,-8.71
MOL_01_028034,-8.709
MOL_02_037364,-8.708
MOL_02_012519,-8.706
MOL_01_025977,-8.705
MOL_01_032791,-8.704
MOL_02_009118,-8.704
MOL_01_030503,-8.703
MOL_02_037181,-8.703
MOL_02_006089,-8.701
MOL_01_029870,-8.698
MOL_02_008276,-8.695
MOL_01_024684,-8.695
MOL_01_031846,-8.692
MOL_02_006414,-8.692
MOL_02_002512,-8.689
MOL_02_003840,-8.685
MOL_02_030032,-8.682
MOL_02_024562,-8.681
MOL_02_010044,-8.672
