DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_009815,-10.278
MOL_02_034109,-9.865
MOL_01_026467,-9.847
MOL_02_009702,-9.79
MOL_01_027820,-9.687
MOL_01_024595,-9.684
MOL_01_040534,-9.594
MOL_01_031718,-9.532
MOL_02_009549,-9.444
MOL_01_029206,-9.412
MOL_01_027648,-9.363
MOL_01_002043,-9.356
MOL_01_010651,-9.331
MOL_02_009416,-9.228
MOL_01_000904,-9.206
MOL_01_026927,-9.156
MOL_01_007514,-9.153
MOL_01_014798,-9.14
MOL_01_019999,-9.124
MOL_01_015142,-9.072
MOL_01_019368,-9.057
MOL_01_028998,-9.052
MOL_02_009377,-8.586
MOL_02_009932,-8.508
MOL_02_009907,-8.166
