title,SMILES,DOCKING_SCORE
177,NCC(=O)c1ccc(/N=C2\NCC(=O)c3ccccc3C2=O)cc1Cl,-8.491
646,NCC(=O)c1ccc(/N=C2\NCC(=O)c3ccccc3C2=O)cc1,-7.76
21,NS(=O)(=O)c1ccc(NC(=O)C[NH2+]C2CC2)c2sccc2c1=O,-7.613
203,Nc1ccc(S(N)(=O)=O)cc1C=O,-7.391
362,NC(=O)c1cccc(NC(=O)NCn2c(=O)ccc3sccc32)c1,-7.387
531,NC(=O)c1ccc(C(=O)NN2CCC(=O)c3ccsc3C2=O)cc1,-7.306
124,NS(=O)(=O)[C@@H]1CCC/[NH+]=C2/C(=O)c3ccccc3C(O)=C2CC1,-7.256
186,NS(=O)(=O)c1cccc(/[NH+]=C2\C=C(O)c3ccccc3C2=O)c1,-7.223
494,NS(=O)(=O)c1ccc(NN2CCC(=O)c3ccccc3C2=O)cc1,-7.222
279,NS(=O)(=O)c1ccc(NN2CCC(=O)c3ccccc3C2=O)cc1,-7.186
744,NS(=O)(=O)Oc1ccc(/[NH+]=C2\C=C(O)c3ccccc3C2=O)cc1,-7.137
818,NS(=O)(=O)c1ccc(N2CC(=O)c3ccccc3[C@@H]2C=O)cc1,-7.118
437,NS(=O)(=O)c1ccc(NC(=O)CN[C@H]2C(=O)c3ccccc32)cc1,-7.116
345,NS(=O)(=O)C1CN(NC2=NCC(=O)c3ccccc3C2=O)C1,-7.115
327,NS(=O)(=O)[C@@H]1CCCN/C=C(/C(=O)c2ccccc2Cl)C[C@@H]1F,-7.078
681,NS(=O)(=O)c1ccc(N/N=C2/C(=O)N(C=O)c3sccc32)cc1,-7.041
598,NS(=O)(=O)C[C@@H]1C[C@H](CN=c2c(=O)c3ccccc3c2=O)[NH2+]1,-7.036
800,NS(=O)(=O)c1ccc(Nc2c(C(=O)c3cccnc3)c2=O)cc1,-7
259,NC(=O)[C@@H]1CC(=O)N(CN2CCC(=O)c3ccccc3C2=O)C1,-6.992
811,NS(=O)(=O)c1ccc(/[NH+]=C2/C=C(O)c3ccccc3C2=S)cc1,-6.984
476,Nc1ccc(=O)cc(NC(=S)N2CC(=O)c3ccsc3C2)c1CF,-6.951
311,NC(=O)c1cccc(NC(=O)NCC(=O)c2ccccc2C(=O)[O-])c1,-6.939
517,NS(=O)(=O)[C@@H]1CCCNC2=C(CC1)C(=O)c1cccnc1C2=O,-6.927
282,NS(=O)(=O)c1ccc(NC(=O)C(=O)c2ccsc2F)cc1Cl,-6.924
182,CNS(=O)(=O)N[C@@H](F)C(=O)NC[C@]1(O)C(=O)c2ccccc21,-6.921
50,NC(=O)c1ccc(NC(=O)NC[C@]2(C=O)C(=O)c3sccc32)cc1,-6.92
465,NS(=O)(=O)c1ccc(NC(=O)[C@]2(O)COc3cnccc3C2)cc1,-6.917
439,NS(=O)(=O)[C@H]1C(=O)NC(=O)C(=O)[C@@H]2[C@@H]1C[C@H]2C(=O)[O-],-6.887
207,NS(=O)(=O)[C@@H]1CCCNc2sc3ccccc3c(=O)c2CC1=O,-6.882
660,NS(=O)(=O)[C@@H]1CN(NC(=O)CSc2ccccc2F)C1=O,-6.869
725,NC(=O)S(=O)(=O)NN(CO)CC1=C([O-])c2ccccc2C1=O,-6.856
442,NC(=O)c1ccc(CN2C(=O)N[C@@H]3C(=O)c4ccccc4[C@@H]32)cc1,-6.845
55,NS(=O)(=O)[C@@H]1CCCNc2cc3ccccc3c(O)c2C[C@H]1O,-6.827
460,N[S@](=O)c1ccc(F)cc1NCC(=O)[C@@H]1[NH2+]CC(=O)c2ccccc21,-6.768
56,NS(=O)(=O)[C@@H]1CCCNC2=C(CC1=O)C(=O)c1ccsc12,-6.763
464,NS(=O)(=O)CN1C[C@H]([N-]C2=C[C@@H](O)c3ccccc3C2=O)C[C@H]1Cl,-6.749
768,NS(=O)(=O)[C@@H]1CCCn2cc(c(=O)c3ccccc3c2=O)CC1,-6.749
469,NS(=O)(=O)[C@@H]1CCCNC2=C[C@@H](CC1)C(=O)c1ccccc12,-6.7
33,NC(=O)[C@@H]1CCC[N+](=O)N/N=C(/C(=O)c2ccccc2[N+](=O)[O-])CC1,-6.693
619,NS(=O)(=O)c1ccc(-n2ccc(=O)c3ccccc3c2=O)cc1,-6.673
292,NS(=O)(=O)c1ccc(NC(=O)C(=O)c2ccsc2Cl)cc1F,-6.661
98,NS(=O)(=O)c1ccc(Nc2oc3sccc3c2C(=O)[O-])cc1,-6.649
778,NS(=O)(=O)c1ccc([NH+]=CC2=C(O)c3ccccc3C(=O)C2)cc1,-6.641
251,C[C@H](O)C(=O)c1ccc(NC2=CC(=O)c3ccccc3C2=O)cc1,-6.638
326,NS(=O)(=O)c1ccc(Nc2sc3ccccc3c2C(=O)[O-])cc1,-6.624
718,NC(=O)S(=O)(=O)NN(C=O)CC1=C([O-])c2ccccc2C1=O,-6.622
714,NS(=O)(=O)c1ccc(Nc2cc(O)n(-c3ccccc3Cl)c2)cc1,-6.616
503,Cc1cc(N2CC(=O)c3ccccc3C2=O)ccc1S(N)(=O)=O,-6.601
199,NS(=O)(=O)C1C[NH+](CN2COc3sccc3C(=O)C2=O)C1,-6.59
689,NS(=O)(=O)[C@@H]1CCCNC2=C[C@@H](C[C@H]1F)C(=O)c1ccsc1O2,-6.572
265,NS(=O)(=O)c1ccc(N[C@@H]2CC(=O)c3ccccc3C2=O)cc1F,-6.56
146,NS(=O)(=O)c1ccc(N[C@@H]2CCc3cc4ccccc4n3C2=O)cc1,-6.557
386,NC(=O)c1ccc(F)c(NC2=CC(=O)c3ccccc3C2=O)c1,-6.552
332,NS(=O)(=O)c1ccc(NC(=O)C(=O)c2ccccc2)cc1N=O,-6.551
727,NC(=O)c1ccc(NC(=O)NC2=C[C@@H](O)c3ccccc3C2=O)cc1,-6.548
188,[NH3+]Cc1ccc(O)cc1N([C@@H]1CCNC(=O)c2ccsc2C1=O)[C@H]1CO1,-6.534
121,NS(=O)(=O)c1ccc(N[C@@H]2CC(=O)c3ccccc3C2=O)cc1Cl,-6.525
87,NS(=O)(=O)c1ccc(NC(=O)c2c(-c3ccncc3)c2=O)cc1,-6.52
354,NNC(=O)Cc1cccc(NC2=CC(=O)c3ccccc3C2=O)c1,-6.517
213,NS(=O)(=O)[C@H]1CC[NH2+]C/N=C(/C(=O)c2ccccc2)c2ccccc21,-6.512
294,NS(=O)(=O)c1ccc(NC2=CC(=O)N2CC2CCOCC2)cc1Cl,-6.499
369,NS(=O)(=O)[C@@H]1CCCNc2cc3ccccc3c(O)c2CC1,-6.472
544,NS(=O)(=O)c1ccc(N[C@@H]2CC(=O)c3ccccc3C2=O)cc1,-6.454
510,NS(=O)(=O)[C@@H]1CCCN/N=C(/C(=O)c2ccccc2)c2ccccc21,-6.454
612,CS(=O)(=O)[C@@H]1CCCNC2=C(CC1)C(=O)c1ccccc1C2=O,-6.448
613,NS(=O)(=O)CN1CCN(C(=O)CC(=O)c2ccccc2Cl)C1=O,-6.444
657,NS(=O)(=O)c1ccc(NC2=C[C@@H](c3ccccc3)CN2C=O)cc1,-6.439
454,NS(=O)(=O)c1ccc([NH+]=CC2=C(O)c3ncccc3C(=O)C2)cc1,-6.422
820,NS(=O)(=O)c1ccc(/N=C2/SC(=O)c3ccccc3C2=O)cc1,-6.42
763,NS(=O)(=O)c1ccc(N2CC(=O)c3ccccc32)cc1[N+](=O)[O-],-6.42
274,NS(=O)(=O)c1ccc(Nc2cc(O)c3ccccc3c2)cc1Cl,-6.406
5,NS(=O)(=O)c1ccc(NC(=O)C(=O)c2ccsc2C=O)cc1,-6.404
599,NS(=O)(=O)c1ccc(NC2=COc3ccccc3C(O)=C2)cc1F,-6.403
38,Cc1cc(C(=O)N[C@@H]2CC(=O)c3ccsc3N2C)ccc1C(N)=O,-6.394
226,O=C(CC(=O)c1ccccc1Cl)Nc1cccc([SH](=O)=O)c1F,-6.388
285,C[NH2+][C@H]1CC[C@@H](/C(N)=N\O)C(=O)c2ccccc2C(=O)C(=O)N1,-6.382
323,NS(=O)(=O)[C@@H]1CCC[NH2+]CC2=C(C[C@H]1Cl)C(=O)c1ccccc1C2,-6.377
303,N[S@](=O)[C@@H]1CC[C@@H](O)N[C@]2(CC1)CC(=O)c1ccccc1C2=O,-6.373
415,NS(=O)(=O)[C@@H]1CCC[NH+]=C(CC(=O)[O-])[C@H]2C[C@@H]2c2ccccc21,-6.372
726,Cc1cc(NC2=NCC(=O)c3ccccc3C2=O)ccc1SC(N)=O,-6.36
522,NS(=O)(=O)c1ccc(/[NH+]=C2\C=C(O)c3ccccc3C2=O)cc1O,-6.357
706,NC(=O)Sc1ccc(NC2=NCC(=O)c3ccccc3C2=O)cc1Cl,-6.354
694,NS(=O)(=O)c1ccc(/[NH+]=C2/C=C(O)c3ccccc3CC2=O)cc1,-6.353
336,N[S@](=O)[C@@H]1CCC[C@H]([NH3+])NC(=O)NCC(=O)c2ccccc2C1=O,-6.343
533,NS(=O)(=O)c1ccc(/N=C2/CC(=O)c3ccccc3C2=O)cc1,-6.336
356,NS(=O)(=O)c1ccc(N2CC(=O)c3ccccc3C2=O)cc1F,-6.329
790,NS(=O)(=O)c1ccc(N[C@@H]2CC(=O)c3ccccc3C2=O)cc1Br,-6.327
720,NC(=O)Sc1ccc(/N=C2\NCC(=O)c3ccccc3C2=O)cc1C=O,-6.326
754,NS(=O)(=O)c1ccc(N[C@@H]2CC(=O)c3ccccc3C2=O)cc1O,-6.318
814,COc1cc(Nc2cc(O)c3ccccc3c2)ccc1S(N)(=O)=O,-6.309
788,Cc1cc(NC2=NC(=O)c3ccccc3C2=O)ccc1[SH](=O)=O,-6.305
60,NS(=O)(=O)c1ccc(NC(=O)C[C@H]2C(=O)c3ccccc32)cc1,-6.302
179,CN[S@](=O)c1cccc(NC(=O)C(=O)c2ccccc2C=O)c1F,-6.302
163,NS(=O)(=O)c1ccc(NC2=CC(O)=C2)cc1C=O,-6.3
734,NS(=O)(=O)c1ccc([NH+]=C2C=C(O)c3ccsc3SCC2=O)cc1,-6.297
167,NS(=O)(=O)c1ccc(NC2=C(C(=O)[O-])c3cc[nH+]cc32)cc1,-6.296
31,NS(=O)(=O)[C@@H]1CCCNC2=C(CC1)C(=O)c1ccsc1C2=O,-6.291
463,NC(=O)C(=O)c1ccc(N2CCC(=O)c3ccccc3C2=O)cc1,-6.287
733,NS(=O)(=O)c1ccc([N-]C2=CCOC2)cc1,-6.273
498,NC(=O)c1ccc(NC(=O)N2CC(=O)c3ccccc3C2=O)cc1,-6.27
135,NS(=O)(=O)c1ccc(N2CC(=O)c3ccccc3C2=O)cc1Cl,-6.268
298,NS(=O)(=O)c1ccc(N[C@@H]2CCC(=O)c3ccccc3C2=O)cc1,-6.262
480,NS(=O)(=O)Cc1ccc(NC2=CC(=O)c3ccccc3C2=O)cc1,-6.256
568,[NH3+]CC(=O)OCc1ccc(NC2=CC(=O)c3ccccc3C2=O)cc1,-6.245
216,NS(=O)(=O)c1ccc(NC(=O)/C=C2/C(=O)c3ccccc32)cc1,-6.242
