DrugGEN-NoTarget_MOL_ID,SMILES
MOL_03_000112,CC(O)(CS(O)(O)c1ccc(NC(O)CCl)cc1)C(O)Nc1ccc(C#N)c(C(F)(F)F)c1
MOL_03_005933,COc1cc(CNC(S)NNC(C)c2ccccn2)cc(OC)c1OC
MOL_03_005239,OC(O)C(O)N(Cc1ccncc1)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1
MOL_03_000400,CCN1C(O)N(CCC(C)C)C2(CCN(Cc3ccc(OC)cc3O)CC2)C1O
MOL_03_001593,CCCOC(O)c1c(C)nc(-c2ccccc2)c(C(O)OCC)c1C
MOL_03_004091,FC(F)(F)c1ccc2c(c1)NC(c1ccccc1)CS2
MOL_03_000523,Cc1ccc(C(O)N2CC3CN(c4ncccn4)CC3C2)cc1
MOL_03_008691,CCCCCCCCSC(CCC)C(O)C(F)(F)F
MOL_03_005256,Cc1ncc(-c2c(C)c(CNC3CCC(F)C3)nn2C(C)C)cc1F
MOL_03_007963,COc1cccc2c1C(O)C(CC1CCN(Cc3ccc4c(c3)OCO4)CC1)C2
MOL_03_008684,Cc1nn(C)c(C)c1S(O)(O)N1CCC(F)(Cc2ccc(Cl)cc2F)CC1
MOL_03_003440,OCC1CC(Nc2nc(N3CCC(c4ccccn4)CC3)nc(O)c2-c2nc3ccccc3s2)C(O)C1O
MOL_03_009747,Cc1cc(C)n(-c2nnc3nnc(-c4ccccc4Cl)n3n2)n1
MOL_03_001128,CC(NC(C)(C)C)C(O)c1ccc(NNN)c(I)c1
MOL_03_005279,CCCCC(O)C(O)C1CCC(C(O)CCC(O)C2CCC(CCCCCCCCCCCCCCC3CC(C)OC3O)O2)O1
MOL_03_006480,N#CC(c1nc2ccccc2s1)c1ncccc1N(O)O
MOL_03_002961,OC1CC(CCC(O)N2CCCCC2)CC1O
MOL_03_005973,CN1CCC(NC(O)c2ccc(Nc3cc(NCc4ccccc4)c(C(N)O)cn3)cc2)CC1
MOL_03_008389,COc1ccc2c(c1)NC1(CCN(C(O)c3ccc(C#N)c(OC)c3)CC1)c1cccn1-2
MOL_03_007767,CN1c2ccccc2C(c2ccc(C(N)O)cc2)NC(NC(O)CCCc2ccccc2)C1O
MOL_03_003722,N#Cc1c(Cl)cccc1COc1cccc(C(O)CC(O)C(O)O)c1
MOL_03_001739,Cn1nc(-c2ccccc2)c2ncc(C(F)(F)F)cc21
MOL_03_004236,COc1cccc(Nc2ncnn3ccc(CN4CCC(N)C(O)C4)c23)c1
MOL_03_009904,CC12CCC3C(CCC4CCCCC43CO)C1CCC2O
MOL_03_009792,Oc1cc(C(O)OC2CC(C(O)O)CC(OC(O)c3cc(O)c(O)c(O)c3)C2O)cc(O)c1O
MOL_03_007358,COC(O)c1cccc(NC(O)c2cc(-n3cc(CCNc4ncccn4)nn3)ccc2O)c1
MOL_03_006090,COc1ccc2c(c1)Nc1cscc1C(N1CCN(C)CC1)N2
MOL_03_002883,COc1ccc(S(O)(O)NCC(O)Nc2ccccc2)cc1
MOL_03_009020,COC(O)C1CC(OC(C)O)C(O)C2C1(C)CCC1C(O)OC(C(O)c3ccc(O)cc3)CC12C
MOL_03_005224,CCS(O)(O)NC1CCC(CCN2CCN(c3nccc4occc34)CC2)CC1
MOL_03_006496,CNCCNCc1cccc(-n2nc(C(F)(F)F)cc2C(O)NCc2ccccc2OC)c1
MOL_03_008256,C#CCC1(C)CN(C2CCCC2)C(O)C(C2Nc3ccc(NS(C)(O)O)cc3S(O)(O)N2)C1O
MOL_03_009998,OC(c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1)N1CCCC1CN1CCCC1
MOL_03_000301,CC(C)C(O)OC1C(O)C(C)CCCC(C)(O)C(OC(O)C(C)C)C2OC(O)C(C)C12
MOL_03_000404,OC(Cc1cccc(N(O)O)c1)Nc1cccc(C(O)N2CCCCC2)c1
MOL_03_000704,CC(n1ncc2cccc(N(O)O)c21)C(O)(Cn1cncn1)c1ccc(F)cc1F
MOL_03_003161,C#CCN(C)CC(C)c1cccc(COc2cccc(F)c2)c1
MOL_03_003237,COc1ccc(-n2cnc(N(O)O)c2)cc1
MOL_03_008103,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1cnc(-c3ccccc3)cn1)c1c(O)ccc(Cl)c12
MOL_03_008223,OC(NCC1CN(c2ccc(C3C4CS(O)(O)CC43)c(F)c2)C(O)O1)C1CC1
MOL_03_001504,COc1ccc(C2CCN(C(O)Nc3ccccc3)C2)cc1OC1CCCC1
MOL_03_001320,CC(O)c1ccc(-c2cccc(OCC(O)CN3CCc4ccccc4C3)c2)cc1
MOL_03_003826,Oc1cc(O)c(C(O)N2Cc3ccccc3CC2C(O)NC2CCCC2)cc1Cl
MOL_03_003639,Cc1c(C(O)NNC(C)C(Cl)NNc2ccccc2)oc2ccccc12
MOL_03_002137,CCC(O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1
MOL_03_007244,CN1CCN(CC#N)CC1
MOL_03_000365,CCNC(O)C(C)c1ccc(OC2CCN(c3ccc(OC4CCCCC4)nc3)C2)cc1
MOL_03_009344,CC(C)CCc1sc(NC(O)c2cc(NC(O)c3cc(NC(C)N)cn3C)cn2C)nc1C(O)NCCCN(C)C
MOL_03_001177,OC(c1ccccc1F)N1CCN(c2ccccc2F)CC1
MOL_03_007819,COC(O)C1NC2N(C(O)CC(C)C)C(CO)CC23c2ccccc2N(Cc2ccccc2)C3C1C(O)OC
MOL_03_000718,CC1(c2sc(-c3cncc(C#N)c3)cc2Cl)CS(O)(O)C2(CCOC2)C(N)N1
MOL_03_001500,CCN(N)C(S)Nc1ccc(F)cc1
MOL_03_000009,CC(CCC(O)NC(Cc1ccc(O)cc1)C(O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
MOL_03_009189,COc1cccc2c1CCCC2C(O)N(C)CCCN1CCN(c2ccccc2)CC1
MOL_03_000924,OC(O)C1Cc2ccccc2OC1(OCc1cc(-c2cccc(C(F)(F)F)c2)no1)C(F)(F)F
MOL_03_004213,COc1ccccc1OCC1Cc2ccccc2CN1C(O)c1cccc2ccccc12
MOL_03_007995,COCC(O)NC(Cc1cc(F)cc(-c2nccs2)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
MOL_03_003680,CC(CCC(O)NC(CC(O)O)C(O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
MOL_03_000536,CN(C)c1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(O)C2CN(Cc3ccccc3)C(O)N2)c1
MOL_03_006003,COCC1CCN(C(O)CC2C(O)NCCN2Cc2cccc(Oc3ccccc3)c2)CC1
MOL_03_003541,Cc1ccc(CSCC(NC(O)C(CS)Cc2ccccc2)C(N)O)cc1
MOL_03_004141,CCN1C(O)c2ccc(C(O)Nc3ncc(C)s3)cc2C1O
MOL_03_002928,COC(O)NCC(O)NCC1(c2c(F)cccc2F)CCCC1
MOL_03_003469,CC(C)(C)CC(C)(C)Nc1c(-c2cc3ccccc3c3ccccc23)nc2ccccn12
MOL_03_004125,Cc1cc(O)ccc1C(C)O
MOL_03_005915,CC(C#Cc1ccc(Oc2ccc(F)cc2)o1)N(O)C(N)O
MOL_03_006587,Nc1cccc2c1nc(-c1ccc([PH](O)(O)O)o1)n2CC1CC1
MOL_03_007319,OC(O)c1nc(N2CCc3cccc(C(O)Nc4nc5ccccc5s4)c3C2)ccc1-c1cnn(CCc2ccccc2)c1
MOL_03_006557,CCCCC(O)c1cc(C)c(O)c(C)c1
MOL_03_006750,Cc1cn2c(n1)CCC(NC(O)CCOc1ccccc1F)C2
MOL_03_002675,Nc1cccc(-c2cnc(N)nc2)c1
MOL_03_001679,CN(c1ccccc1I)C(O)c1ccoc1
MOL_03_004415,CC12CCC3C(CCC4CC(O)CCC43CCSCCO)C1CCC2O
MOL_03_004501,CC(O)C1C(O)N2C(C(O)O)C3C(OCCCN)CCCC3C12
MOL_03_006586,CC(C)NC(O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1
MOL_03_004968,CCCC(C(C)C)C(N)O
MOL_03_003960,OC(Cc1ccc(Cl)cc1)NCC(O)N1CCCC1
MOL_03_002390,CCCCCCC(O)OCC(COC(O)CCCCCC)OC(O)CCCCCC
MOL_03_007020,CC(C)Nc1nc(NC(C)C)nc(Oc2ccc(OCc3ccccc3)nn2)n1
MOL_03_004604,COc1cc(OC)cc(C(O)NNCc2ccccc2)c1
MOL_03_009076,CN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2
MOL_03_000027,Cn1c(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)nnc1N1CCOCC1
