DrugGEN_MOL_ID,SMILES,DEEPScreen_Confidence_Score
MOL_02_010046,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(Cl)c4)cn3CC[NH+]3CCCC3)CC2)c1Cl,1.0
MOL_02_010033,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(Cl)c4)cn3CC[NH+]3CCCC3)CC2)c1C[NH3+],1.0
MOL_02_009980,Cc1cc(-c2cn(CC[NH2+]C3CCCC3)c(C3CCN(c4ncnc(N)c4C[NH3+])CC3)n2)ccc1Cl,1.0
MOL_02_009403,Cc1cc(-c2cn(CC[NH+]3CCCC3)c(C3CCN(c4ncnc(N)c4[C@H]([NH3+])[O-])CC3)[nH+]2)ccc1Cl,1.0
MOL_02_009470,Cc1ncnc(N)c1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2([NH3+])CCC2)cc1,1.0
MOL_02_009356,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(O)c(C(Cl)(Cl)Cl)c3)cn2CC[NH+]2CCCC2)CC1,1.0
MOL_02_009083,[NH3+][C@]1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3c(Cl)cccc3-4)cc2)C[C@](O)(C2CC2)C1,1.0
MOL_02_005043,Nc1ccc(-c2ccc3ncc4[nH]c(=O)n(-c5ccc(C(Cl)(Cl)Cl)cc5)c4c3c2)cn1,1.0
MOL_02_009348,Cc1cc(-c2cn(CC[NH2+]C(C)C)c(C3CCN(c4ncnc(N)c4C[NH3+])CC3)[nH+]2)ccc1Cl,1.0
MOL_02_027809,C[NH2+]CCn1cc(-c2ccc(Cl)c(C)c2)[nH+]c1C1CCN(c2ncnc(N)c2N)CC1,1.0
MOL_02_017998,Cc1cc(-c2cn(CC3C[NH+](C)C3)c(C3CCN(c4ncnc(N)c4C)CC3)[nH+]2)ccc1Cl,1.0
MOL_02_000430,Cn1cc(-c2cc3c(-c4cccc(C(Cl)(Cl)Cl)c4)c(Cc4cccc5ccccc45)cc([O-])n3c2C(O)O)nn1,1.0
MOL_02_045795,CC(C)(C)O[C@H](O)N1CCC(CC[NH3+])(n2cc([C@H]([NH3+])[O-])c(Nc3ccc(Cl)c(Cl)c3)n2)CC1,1.0
MOL_02_009683,[NH3+][C@H]([O-])c1cc(Cl)cn2c(-c3ccccc3)c(-c3ccc(C4([NH3+])CCC4)cc3)nc12,1.0
MOL_02_009653,CCn1c(-c2nonc2N)nc2c(CCC(C)(C)O)nc(C[NH3+])cc21,1.0
MOL_02_010065,Cc1ccc(-c2cn(CC[NH+]3CCCC3)c(C3CCN(c4ncnc(N)c4Cl)CC3)[nH+]2)cc1Cl,1.0
MOL_02_009981,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(C)C)c3)cn2CC[NH+]2CCC2)CC1,1.0
MOL_02_001901,Cc1c(N[C@H](O)[NH2+][C@H]([O-])c2c(Cl)cccc2Cl)ccc([C@H](O)C(Cl)(Cl)C(Cl)Cl)c1C,1.0
MOL_02_045601,Cc1cc(-c2cn(CC[NH+]3CCCC3)c(C3CCN(c4ncnc(N)c4[C@H]([NH3+])[O-])CC3)[nH+]2)ccc1Cl,1.0
MOL_02_009589,Cc1ccccc1-c1cccc2c1CCN2[C@H](O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,1.0
