DrugGEN_MOL_ID,SMILES,DEEPScreen_Confidence_Score
MOL_01_024540,Oc1cc(N2CCOCC2)nc(CC(O)Nc2ccccc2OCCN2CCCC2)n1,1
MOL_02_004163,CCOc1cccc(N2CCC(CCN)(n3cc(C(N)O)c(Nc4ccc(Cl)cc4)n3)CC2)n1,1
MOL_02_000245,CC(O)(c1ccc(Nc2nn(C3COCCC3CN)cc2C(N)O)cc1)C(Cl)Cl,1
MOL_02_005594,Cc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1C,1
MOL_02_008659,CC(C)(C)c1ccccc1Oc1ccc(C(O)c2cc(Cc3ccc(Cl)cc3)c(O)c(O)c2O)cc1,1
MOL_02_003357,CC(O)(O)c1ccc(OCCC(Cl)(Cl)Cl)c(C(O)N2Cc3cc(C(Cl)(Cl)Cl)cnc3C2)c1,1
MOL_02_002115,CC1(c2nc(NC(O)c3ncc(C(Cl)(Cl)Cl)nc3N)ccc2Cl)NC(N)OCC1(Cl)Cl,1
MOL_02_007532,Cc1ccc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4C4CCC4)CC3)n2)cc1,1
MOL_02_002364,OCC(O)CNC(O)c1ccncc1Nc1ccc(Cl)cc1Cl,1
MOL_02_002297,Cc1cc2c(cc1-c1cc(CCC(O)O)ccc1OC(Cl)(Cl)Cl)N(CC(Cl)(Cl)Cl)C(O)CC2(C)C,1
MOL_02_000341,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(Cl)cc3-4)cc2)C1,1
MOL_02_000865,CC(O)NC(C)c1ccc(OC2CCN(c3cc(C(Cl)(Cl)Cl)ccn3)C2)cc1,1
MOL_02_005222,OC1CCC(C(O)N2CCC(c3ccc(C(Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)cc3)(C(O)(O)c3ccc(Cl)cc3)C2)CN1,1
MOL_02_005430,COc1ccc(Cl)cc1C(C)(C)CC(O)(Cc1cc(C)cc(C)c1)C(Cl)(Cl)Cl,1
MOL_02_003982,Oc1cc(C(Cl)(Cl)Cl)c2cc3c(cc2n1)OCC(C(Cl)(Cl)Cl)N3CC(Cl)(Cl)Cl,1
MOL_02_009330,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN(C)C)CC1,1
MOL_02_010049,CNCCn1cc(-c2ccnc(C(Cl)(Cl)Cl)c2)nc1C1CCN(c2ncnc(N)c2Cl)CC1,1
MOL_02_010046,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(Cl)c4)cn3CCN3CCCC3)CC2)c1Cl,1
MOL_02_009532,Oc1cc(N2CCOCC2)nc(CC(O)Nc2cccc(OC(Cl)(Cl)C(Cl)Cl)c2)n1,1
