DrugGEN_MOL_ID,SMILES
MOL_02_007564,Oc1cccc2c1C(O)c1c(O)cc(CNc3ccccc3)cc1C2O
MOL_02_002539,CCC(O)c1c(CN)nn(-c2c(C)cc(C(Cl)(Cl)Cl)cc2C)c1NC(OC)C(C)(C)C
MOL_02_004650,COCC(O)NC(C(O)C(C)C)C(O)N1NCCCC1C(O)NC(Cc1ccccc1)C(O)C(C)C(O)NC1CCNC1O
MOL_02_016695,NC1CCCN(c2cccc(-c3cnc4ccccn34)n2)C1
MOL_02_000040,CCC1(O)CCCC2C3CCC4CC(OC(C)O)CCC4(C)C3C(O)CC21C
MOL_02_000213,CC12CCC(O)CC1CCCC2C(O)c1cccc(O)c1
MOL_02_023691,Cc1nc(CCN)c2n1CCN(c1cccnc1)C2
MOL_02_005814,Oc1c(C(O)OC2CCCCC2)cnc2cc(Oc3ccccc3)ccc12
MOL_02_004598,Cc1cc(NC2CCCCC2)c(C(O)NCCO)cc1C(N)(O)O
MOL_02_004158,COc1cc(CCC(O)N2CCN(C(O)CCc3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
MOL_02_009168,Nc1ncnc(N2CCC(c3nc(-c4ccnc(C(Cl)(Cl)Cl)c4)cn3CCN3CCC3)CC2)c1Cl
MOL_02_000344,CC(OC1CN2C(CC(C)(O)C2O)C1c1ccc(Cl)cc1)c1cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c1
MOL_02_004146,Cc1ccc(OCC(O)Nc2nnc(-c3cc(C(C)C)c(O)cc3O)n2-c2ccc3c(ccn3C)c2)cc1
MOL_02_001359,Cn1cc(C2C(O)NC(O)C2c2cn(CCCCC(N)N)c3ccccc23)c2ccccc21
MOL_02_005321,CC(C)C1(O)CCC2(C)CC3OC3(C)CC(O)C21
MOL_02_009519,Nc1ncccc1-c1nc2cc(-c3ccccc3)cnc2n1-c1ccc(CNC(O)c2ccccc2)cc1
MOL_02_007435,Cc1nc(N)c2ncn(C3C(O)C(O)C4(COC(O)(O)O)CC34)c2n1
MOL_02_005226,OC(c1ccncc1)N1CCN(C(O)c2coc3ccccc23)CC1
MOL_02_012318,NCc1cccc(-c2cc(-n3c4ccccc4c4ccc(CN)cc43)ncc2-n2c3ccccc3c3ccc(CN)cc32)c1
MOL_02_005804,Cc1ccc(OC(O)C2CCC(O)N2)cc1
MOL_02_004782,CC(O)CCC(C(C)C)C1C2CCC(O)C21
MOL_02_005681,CC(c1ccc(-c2cnc(N)nc2)cc1)(c1noc(N2CCC(O)CC2)n1)C1CC1
MOL_02_002894,CCNc1nc(NC(C)C)nc(Nn2cnnc2)n1
MOL_02_000316,CCNc1nc(NCC)nc(-n2nc(C)cc2C)n1
MOL_02_000773,CN(c1ccc(Cl)cc1)C1CC(O)C(O)c2ccccc21
MOL_02_009478,CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN(CC)CC)CC1
MOL_02_009310,OC(O)(O)Oc1ccc(OC(O)(O)O)c(OC(O)(O)O)c1OC(O)(O)O
MOL_02_002986,Cc1cccc(-c2nn(C)cc2CN(C)Cc2nccn2C)c1
MOL_02_004108,CC(NNC(C)N1C(C)CCC1C)c1ccccn1
MOL_02_009822,Cc1ccc(C(O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1
MOL_02_009979,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(O)Nc2ccccc2)cc1
MOL_02_002327,CN(Cc1cccc(Cl)c1)C1CCN(CCc2ccccn2)CC1
MOL_02_002639,CNC(O)C1CC2CN(C(O)c3ccccn3)CC2N1C(C)C
MOL_02_001609,NC(O)(O)c1ccc(NNC2CCCCC2)c(N(O)O)c1
MOL_02_002143,CC1CCC2C(CC(C)CCC3OC3(C)C(O)CC1)OC(O)C2C
MOL_02_006845,Cc1ccnc2c1cnn2C1OC(CO)C(O)C1O
MOL_02_000043,Cc1ccc(C(O)NCCC2CCN(CC(c3ccccc3)c3ccccc3)C(O)C(CCN(C(C)C)C(C)C)N2)cc1C
MOL_02_008529,Cc1cccc(N2CCN(CCCNc3nc(NCc4ccco4)c4ccccc4n3)CC2)c1C
MOL_02_007472,CCC(C)NC1Nc2ccc(OC)cc2C(O)(O)N1
MOL_02_002194,CCN(CC)CCCCCOc1ccc(C(O)CCc2ccccc2)cc1
MOL_02_006745,Cc1ccc(NNC2CCCN3CCCCC23)cc1C(Cl)(Cl)Cl
MOL_02_005433,OC(Nc1ccc2oc(-c3ccccc3)nc2c1)c1ccc(Cl)cc1
