SMILES,name,canvasUID,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
c1ccccc1-c2cc(ccc2)C3(CN)CCN(CC3)c4ncnc(c45)NCC5,MOL_02_015514,10002,385.5047,3.371,2,1,4,29,0,0,5,67.07,56.252,120.7052,54.225
CC(N)Cc1ccc(CC(C)N)c(c12)ccc(c2)CCCn3cnc(c34)nccc4,MOL_01_030091,10009,401.5471,3.3387,2,0,8,30,0,2,4,82.75,59.835,123.3717,56.9
NCc1c(CN)ccc(c1)C(=CC2)N(C2=3)CCN3,MOL_01_031295,10014,242.3195,0.0129,1,0,3,18,0,0,3,67.64,36.835,75.2604,31.625
NCc(c1)c(CN)cc2c1C(C)=C(C2=3)C(=O)C=CC3C,MOL_01_026467,10020,266.3376,1.2647,1,0,2,20,0,0,3,69.11,45.003,84.4335,34.547
C1COCCN1c(cc(n2)O)nc2CC(O)Nc3c(cccc3)OCCN4CCCCC4,MOL_02_009702,10022,443.5392,2.9458,6,3,9,32,0,1,4,103.21,69.168,121.0779,53.024
c1cc(F)ccc1C2(C(C2)(N)N)C(N)CCCCc3cccnc3,MOL_01_030056,10023,328.427,1.5056,1,0,7,24,0,2,3,90.95,55.334,93.662,43.237
c1cc(F)ccc1C(O)CCC(O)CCc(n2)cc(O)n(c23)c(N)cc3,MOL_01_027820,10024,359.3947,2.9668,4,4,7,26,0,2,3,104.53,67.668,95.6018,44.759
c1cc(Cl)ccc1C(CC(N)(N)N)c2ccc(cc2)-c3ccncc3,MOL_01_024595,10025,352.8605,3.2419,1,0,5,25,0,1,3,90.95,55.529,102.7066,49.821
c1cc(Cl)ccc1C(CN)C(N)Nc(c2)ccc(c23)cncc3,MOL_01_030681,10026,326.8233,2.2425,1,1,5,23,0,2,3,76.96,50.112,95.1571,45.255
c1cccc(c12)ccc(c2)CC3(N)CCN(CC3)c4ncnc(c45)NCC5,MOL_02_015378,10027,359.4674,2.6379,2,1,3,27,0,0,5,67.07,52.252,111.9657,49.659
c1cccc(c12)CCCC2NC(=N)CCNCc(c3)ccc(c34)N(CC4)C(=N)CC,MOL_01_025351,10029,403.563,4.394,2,2,9,30,0,1,4,75,59.502,124.6759,54.85
NCc1c(CN)ccc(c1)NC(N)C(N)c(c2)ccc3n(CC)c(c4c23)cccc4,MOL_01_027955,10030,402.5352,1.962,0,1,7,30,0,2,4,121.04,63.002,122.8091,57.954
FC(F)(F)c1ccc(cc1)CNC(N)c2c(OC)ncc(c2)C(C3=O)SC(=N)N3,MOL_01_040534,10031,425.428,2.6278,5,1,7,29,0,2,3,138.42,84.418,103.0961,45.877
