MOL_ID,smiles_maestro
MOL_01_019368,[NH3+]Cc1ccc(c(C[NH3+])c1C[NH3+])-c2cc(Nc3ccccc3)nn2-c4ccc(F)cc4
MOL_02_009549,Cc1ccc([C@@H]2C[C@@H](CC[NH+]3CCC(O)CC3)[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C
MOL_01_029206,[NH3+]Cc1ccc(Cl)cc1NC(=O)c2cccc(c2)-n3ccnc3
MOL_01_010651,c1ccccc1C[NH2+][C@H](CC[NH3+])CCc2cccc(c23)cncc3
MOL_01_024595,Clc1ccc(cc1)[C@H](CC([NH3+])(N)N)c2ccc(cc2)-c3ccncc3
MOL_02_009377,COc1cc(N[C@H](O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1Cl
MOL_02_009702,O=c1cc(N2CCOCC2)nc(C[C@H](O)Nc2ccccc2OCC[NH+]2CCCCC2)[nH]1
MOL_02_009416,[NH3+]Cc1cc(N[C@H](O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)ccc1Cl
MOL_02_009815,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]CC4CC4)c4ccc(C(Cl)(Cl)Cl)c(Cl)c4)CC3)c21
MOL_01_000904,CCc1ccc(NC)c(c1)CN[C@H](O)[C@H]([NH2+]C)n(c2=O)cc(F)c(c23)[nH]c4c3cccc4
MOL_01_031718,Clc1ccccc1CC[C@@](C)(C[NH3+])N[C@H]([NH3+])c2cccc(c2)CC(F)(F)F
MOL_01_026927,CCCc1ccc([C@H]([NH3+])Nc2ccc(OC)nc2[C@H]([NH3+])NCC2CCOCC2)c2ccccc12
MOL_01_027820,Nc1ccc(n12)[nH]c(cc2=O)CC[C@H](O)CC[C@H](O)c3ccc(F)cc3
MOL_02_009932,CC(O)(O)c1cccc(-c2cn(CC[NH+]3CCC3)c(C3CCN(c4ncnc(N)c4C[NH3+])CC3)n2)c1
MOL_01_019999,CCC[C@H]([NH3+])c1cnn(-c2ccc(Cl)cc2)c1N[C@H]([NH3+])c(c(N)c3)cc(c34)cc(C)cc4
MOL_01_028998,[NH3+]Cc1[nH]cc(c(=O)c1C[NH3+])[C@H](O)c2ccccc2Cl
MOL_02_009907,CCCC[NH2+]CCn1cc(-c2ccnc(C(Cl)(Cl)Cl)c2)nc1C1CCN(c2ncnc(N)c2Cl)CC1
MOL_01_002043,[NH2+]1CC[NH2+]C1[C@H](O)N([C@H]2C[NH2+]C[NH2+]2)Cc(c(F)n3)cc(c34)cc(F)nc4F
MOL_01_026467,O=C1C=CC(C)=C(C1=2)c3c(C2C)cc(C[NH3+])c(c3)C[NH3+]
MOL_02_034109,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](CC[NH2+]C4CCOCC4)c4ccc(OC(Cl)(Cl)Cl)c(Cl)c4)CC3)c21
MOL_01_040534,O=C1N=C(N)S[C@@H]1c2cnc(OC)c(c2)[C@H]([NH3+])NCc3ccc(C(F)(F)F)cc3
MOL_01_014798,[NH3+]Cc1c(Cl)cc(Cl)cc1[C@H]([NH3+])Nc2cccc(c23)cccn3
MOL_01_027648,Cc(c1)ccc(c12)c(C[C@H](N)[C@H]([NH3+])N)nc3c2c(N)ncc3
MOL_01_015142,c1cccc(c12)[C@@H]([NH3+])[C@@H]([C@H]2[NH3+])c3cc(F)cc(c3)Cc4cccnc4
MOL_01_007514,Fc1cc(F)c(F)cc1C[C@H]([NH3+])C[C@H]([NH3+])N(C2)CCn(c23)cnc3-c4ccccn4
MOL_02_045597,COc1ccc2nccc(CC[N@H+]3C[C@H](C[NH2+]Cc4ccc5c(n4)N[C@@H](O)CC5)[C@H](O)C3)c2n1
MOL_02_000496,CN(C)c1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(Cl)cc(Cl)c2)[NH2+][C@H]([O-])[C@@H]2C[N@@H+](Cc3ccccc3)[C@@H]([O-])[NH2+]2)c1
MOL_02_008350,CCC[C@H](O)[NH2+][C@@H]1Cn2c(c(-c3ccc(O)cc3)c3c(N)ncnc32)[C@H]1C
MOL_02_045598,N[C@@H]([NH3+])NCCC[C@H]([NH2+][C@H](O)CCc1ccccc1)[C@H](O)N[C@H](Cc1ccccc1)[C@H]([NH3+])O
MOL_02_000546,CN1c2ccccc2[C@@H](c2ccccc2)N[C@@H]([NH2+][C@H](O)Nc2ccc(C(O)O)cc2)[C@H]1O
