DrugGEN_MOL_ID,SMILES,DOCKING_SCORE
MOL_02_034697,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](CC[NH2+]CC4CC4)c4ccc(OC(Cl)(Cl)Cl)c(Cl)c4)CC3)c21,-10.603
MOL_02_015514,[NH3+]CC1(c2cccc(-c3ccccc3)c2)CCN(c2ncnc3c2CCN3)CC1,-10.55
MOL_02_033292,CC[NH2+][C@H](O)Nc1nc(-c2ccc(C[NH+]3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)cc1C[NH3+],-10.513
MOL_02_034107,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]CC4CC4)c4ccc(OC(Cl)(Cl)Cl)c(Cl)c4)CC3)c21,-10.385
MOL_02_009815,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]CC4CC4)c4ccc(C(Cl)(Cl)Cl)c(Cl)c4)CC3)c21,-10.278
MOL_02_018026,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]CC4CC4)c4ccc(C(Cl)(Cl)Cl)cc4)CC3)c21,-10.22
MOL_02_013706,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](CC[NH2+]C4CCOCC4)c4ccc(C(Cl)(Cl)Cl)cc4)CC3)c21,-10.188
MOL_02_009783,Cc1ccc([C@@H]2CC[NH2+]C[C@H]2N[C@H](O)c2cc(Cl)c(-c3c(Cl)cnn3C)o2)cc1,-10.174
MOL_01_030091,C[C@H]([NH3+])Cc1ccc(C[C@H](C)[NH3+])c2cc(CCCn3cnc4ncccc43)ccc12,-10.057
MOL_02_017700,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]C4CCOCC4)c4ccc(C(Cl)(Cl)Cl)cc4)CC3)c21,-10.056
MOL_02_009744,Cc1ccc([C@@H]2C[C@@H](C[C@H](O)[NH2+]CCO)[NH2+]C[C@H]2N[C@H](O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C,-10.029
MOL_02_009326,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c([C@H]([NH3+])[O-])c3)cn2CC[NH+]2CCC2)CC1,-10.004
MOL_02_009835,C[C@@H]1C[C@@H](O)c2ncnc(N3CC[NH+]([C@H]([O-])[C@H](C[NH2+]C(C)(C)C)c4ccc(C(Cl)(Cl)Cl)c(Cl)c4)CC3)c21,-9.952
MOL_01_031295,[NH3+]Cc1ccc(-c2ccc3n2CCN3)cc1C[NH3+],-9.941
