SMILES,DOCKING_SCORE
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H](C[NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.960
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.912
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(C4CC4)c23)CC1,-10.881
c1nc(N2CCc3[nH]c[nH+]c3C2)c2cc[nH]c2n1,-10.789
N#Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4F)C3)c12,-10.768
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(Cl)c23)CC1,-10.647
[NH3+]C1(C(=O)N[C@H](CCC[NH+]2CCOCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.638
CCc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.559
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]CC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.538
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(F)cc4)CC3)c12,-10.532
[NH3+][C@]1(CNC(=O)c2ccc(F)cc2F)CCN(c2ncnc3[nH]cc(Cl)c23)C1,-10.516
N#Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.489
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.447
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,-10.421
[NH3+]C[C@H](NCc1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.387
C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(S(C)(=O)=O)cc1,-10.378
Cc1c[nH]c2ncnc(N3CC[C@@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.337
[NH3+]C1(C(=O)N[C@H](CO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.329
C[NH+](C)CCC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.320
C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(F)cc1,-10.314
NS(=O)(=O)C[C@@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.287
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH3+])c4ccc(C(F)(F)F)cc4)CC3)c21,-10.272
Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.238
[NH3+][C@]1(CNC(=O)c2ccc(F)cc2)CCN(c2ncnc3[nH]cc(Cl)c23)C1,-10.214
[NH3+]C[C@H](C(=O)Nc1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.202
C[NH+](C)CC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.183
C[NH+](C)CC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.183
[NH3+]C[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,-10.179
CCc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4)C3)c12,-10.168
CCOCCN(C[C@@H](O)C[N@H+]1CC[C@@]2(CCN(c3ncnc4[nH]nc(C)c34)C2)C1)S(=O)(=O)c1c(C)cccc1C,-10.147
[NH3+]C[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,-10.143
CS(=O)(=O)NC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.135
[NH3+]C1(C(=O)N[C@H](CCC[NH+]2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.123
NC(=O)[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.094
[NH3+]C[C@H](Cc1ccccc1F)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,-10.086
CCc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(F)cc4F)C3)c12,-10.075
CC(=O)NC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.047
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3ccc(-c4cn[nH]c4)cc23)CC1,-10.043
[NH3+]C1(C(=O)N[C@H](CCCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.035
[NH3+]C[C@H](CNc1ccc(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.033
C[C@@H]1SCc2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)c(F)c4)CC3)c21,-10.008
N#Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CC[NH3+])CC1,-10.005
[NH3+]CCC[C@H](NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1)c1ccccc1,-10.002
[NH3+]C1(C(=O)N[C@@H](CC[NH+]2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-9.998
C[C@@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-9.996
NC1(C(=O)N[C@H](CCC[NH+]2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-9.992
[NH3+]C[C@@H](C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-9.980
CN(C)C(=O)C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-9.971
Cc1c[nH]c2ncnc(N3CC[C@]([NH3+])(CNC(=O)c4ccc(Cl)cc4)C3)c12,-9.902
CC[C@@H]1SCc2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c21,-9.871
CS(=O)(=O)NCC[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-9.849
