SMILES,DOCKING_SCORE
Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,-11.867
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,-11.014
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccc(O)cc4)c32)cc1,-10.925
CC(C)n1cnc2c(NCc3ccccc3O)nc(NCCCO)nc21,-10.820
CC(C)n1cnc2c(NCc3cccnc3)nc(NC[C@@H](O)C(F)(F)F)nc21,-10.704
Nc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,-10.482
O=C(Cc1ccc(O)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-10.480
CC(C)n1cnc2c(NCc3cccc(/C=C/C(=O)NO)c3)nc(N3CCOCC3)nc21,-10.330
O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCC3=O)cc12,-10.302
CC[C@@H](O)[C@@H](CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1,-10.270
CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@@H](O)CO)nc12,-10.256
CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.161
CC[C@H](CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1,-10.142
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-10.118
O=C(Nc1n[nH]c2ccc(-c3cncc(NC[C@@H](CO)Cc4ccccc4)c3)cc12)c1ccccc1,-10.100
CC[C@H](Nc1nc(NCc2cccc(F)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.091
CC[C@H](Nc1nc(NCc2ccc(C)nc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.089
COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,-9.977
Fc1ccccc1-c1cc(NCc2cccnc2)n2ncc(Cl)c2n1,-9.925
CC[C@H](Nc1nc(NCc2cc(C)[nH+]c(C)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.918
CC[C@H](Nc1nc(NCc2cccc(Cl)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.889
CC(C)n1cnc2c(NCc3cccnc3)nc(NC[C@@H](C)O)nc21,-9.882
CC(C)COc1cc(Nc2ccc(S(C)(=O)=O)cc2)n2ncc(C(C)C)c2n1,-9.881
Cc1c(Nc2ncc(Cl)c(-c3cnc4ccccn34)n2)cnn1C1CC[NH2+]CC1,-9.880
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc([C@@H]3CCCC[C@H]3CCO)nc12,-9.860
NC(=O)Cc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.847
O=C(Nc1n[nH]c2ccc(-c3cncc(NC[C@H](O)c4ccccc4)c3)cc12)c1ccccc1,-9.839
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(/C=C/c4ccc(O)cc4)c32)cc1,-9.833
C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(=O)CCO)cc2)ncc1C(F)(F)F,-9.831
CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,-9.830
NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.793
CC[C@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.763
CC(C)[C@H](CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,-9.725
Fc1ccccc1-c1cc(NCc2cccnc2)n2ncc(Br)c2n1,-9.725
CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,-9.720
O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-9.720
O=C(Cc1ccccc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-9.686
Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OC[C@H](O)C[NH+](C)C)cc2)n1,-9.683
O[C@H]1CC[C@H](c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,-9.672
CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21,-9.668
CC(C)c1cnn2c(Nc3cccc(Cl)c3)nc(N[C@@H](CO)C(C)C)nc12,-9.666
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,-9.647
NC(=O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1,-9.633
NC(=O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1,-9.633
CNC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.624
C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,-9.622
CC[C@H](Nc1nc(NCc2cccc(C)[nH+]2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.621
CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@H](C)O,-9.619
CN(C)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.613
CC[C@H](Nc1nc(NCc2ccc(C(F)(F)F)nc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.600
O=C(Cc1cccc(Br)c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-9.564
O=C(Cc1cccc(F)c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,-9.563
O=C1Nc2ccc(F)c3c(OCCO)cc(-c4ccc[nH]4)c1c23,-9.562
Cc1cccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)c1,-9.557
O=C1Nc2ccc(F)c3c(OCCCO)cc(-c4ccc[nH]4)c1c23,-9.540
Clc1ccccc1-c1cc(NCc2cccnc2)n2ncc(Br)c2n1,-9.539
O=C(Nc1n[nH]c2ccc(-c3cncc(NC[C@@H](O)c4ccccc4)c3)cc12)c1ccccc1,-9.538
CC[C@H](Nc1nc(NC2CCC2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.526
CC[C@@H](O)[C@H](CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1,-9.526
