DrugGEN_MOL_ID,SMILES,DOCKING_SCORE
CDK2_01_005195,Nc1ccc(-c2nc3c(-c4ccc(N)cc4)nc4ccccc4c3c(=O)[nH]2)cc1,-11.403
CDK2_03_002831,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)CC4)c(F)cn2)C1,-11.372
CDK2_03_002041,CC(C)c1cnn2c(NCc3ccccc3F)cc(NCCCCCCCC[NH3+])nc12,-11.053
CDK2_03_001478,OCCNc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-10.991
CDK2_03_001864,CC(C)n1cnc2c(NCc3ccc(N)c(N)c3)nc(N3CCC[C@@H]3CO)nc21,-10.866
CDK2_02_000042,CC(C)n1cnc2c(NCc3ccccc3O)nc(NCCCO)nc21,-10.820
CDK2_02_000349,CCc1cnn2c(NCc3cccnc3)cc(N3CCCC[C@@H]3CCO)nc12,-10.748
CDK2_02_000330,CC(C)n1cnc2c(NCc3cccnc3)nc(NC[C@@H](O)C(F)(F)F)nc21,-10.704
CDK2_03_002854,CCn1cnc2c(Nc3cccc(N)c3)nc(N3CCCC[C@@H]3CO)nc21,-10.520
CDK2_01_008148,Nc1c(S(=O)(=O)[O-])cc(Nc2cccc(C(F)(F)F)c2)c2c1[C@H](O)c1ccccc1[C@H]2O,-10.513
CDK2_03_003140,[NH3+]CCNc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-10.509
CDK2_02_000405,CCCCNC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccc4ccccc4c3)c2C1,-10.507
CDK2_02_000037,CCc1cnn2c(NCc3cccnc3)cc([C@@H]3CCCC[C@@H]3CCO)nc12,-10.500
CDK2_03_000640,CC(C)[C@H](CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,-10.482
CDK2_03_001580,Nc1ccc(O)c(CNc2nc(N[C@H]3CC[C@@H]([NH3+])CC3)nc3c2ncn3C2CCCC2)c1,-10.474
CDK2_02_000486,CC[C@@H](Nc1nc(NCc2ccc(C(F)(F)F)nc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.459
CDK2_02_001543,CC(C)n1cnc2c(NCc3cccc(CC[C@H]([NH3+])O)c3)nc(N3CCOCC3)nc21,-10.458
CDK2_03_000256,CNc1ccc(F)cc1-c1ccnc2[nH]c([C@H]3C[C@@H]4C[N@@H+]([C@@H](N)[C@H]5C[C@@H]([NH3+])C5)C[C@@H]4C3)cc12,-10.447
CDK2_03_001365,NCC(=O)Nc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-10.402
CDK2_02_000096,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@H](CO)[C@@H](O)CO)nc12,-10.396
CDK2_02_000393,CCn1cnc2c(NCc3cccc(CC[C@H]([NH3+])O)c3)nc(N3CCOCC3)nc21,-10.396
CDK2_02_001462,CC[C@@H](Nc1nc(NCc2cccc(F)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.378
CDK2_03_001981,CC[C@H](CO)Nc1cc(NCc2ccccc2)n2ncc(C(C)C)c2n1,-10.364
CDK2_01_004685,Cc1ccc(Cn2c([C@@H](C)NC(=[NH2+])c3ccccc3)nc3ccccc32)cc1,-10.338
CDK2_03_002783,CCc1cnn2c(NCc3nc4c(F)c(F)ccc4[nH]3)cc(N3CCCC[C@@H]3CCO)nc12,-10.333
CDK2_03_003007,CC(C)n1cnc2c(NCc3cccc(N)c3)nc(N3CCC[C@@H]3CO)nc21,-10.322
CDK2_03_001296,CC(C)[C@H](CO)Nc1nc(NCc2ccc3c(c2)OCO3)c2ncn(C(C)C)c2n1,-10.285
CDK2_03_000858,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@@]3(CO)CC[NH2+]C3)nc12,-10.277
CDK2_03_000919,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CC[C@@H](O)C3)nc21,-10.273
CDK2_02_000277,CC[C@@H](O)[C@@H](CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1,-10.270
CDK2_03_002978,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)C[C@@H](O)N3)ncc1C(F)(F)F)S(C)(=O)=O,-10.219
CDK2_03_000642,COc1cccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)c1,-10.182
CDK2_01_006209,Nc1nc2c(ncn2[C@@H]2CCN(C(=O)CP(=O)([O-])O)C2)c(=O)[nH]1,-10.182
CDK2_02_000353,Cc1cnn2c(NCc3cccnc3)cc(N3CCCC[C@@H]3CCO)nc12,-10.170
CDK2_01_008093,CCc1nn(-c2c(N)cc(N)cc2N)c2nc(Cc3cccc(O)c3)[nH]c(=O)c12,-10.164
CDK2_02_001168,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.158
CDK2_03_002259,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3C[C@@H](O)C[NH2+]3)nc12,-10.152
CDK2_03_002141,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)ccn2)C1,-10.152
CDK2_02_000458,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-10.151
CDK2_02_000519,CC[C@H](CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1,-10.142
CDK2_02_000946,[NH3+]CC[S@@+](O)c1cc(-c2ccccn2)c2c3c(ccc(F)c13)N[C@@H]2O,-10.135
CDK2_03_000083,CC(=O)N[C@@H]1CC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(N)cn2)C1,-10.134
CDK2_02_000959,NC(=O)[C@@H](Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1,-10.121
CDK2_02_001524,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-10.118
CDK2_03_001142,C[N@H+]1CCC[C@@H](c2ccc(CC(=O)Nc3cc(C4CC4)[nH]n3)cn2)C1,-10.117
CDK2_03_002208,Nc1cccc(Nc2ncnc3[nH]nc(-c4cccc(O)c4)c23)c1,-10.106
CDK2_02_001004,CCCCNC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccccc3F)c2C1,-10.101
CDK2_03_002060,Cc1nc2c(F)cc(-c3nc(Nc4ccc(CNC(=O)C[C@H]([NH3+])O)cc4)ncc3F)cc2n1C(C)C,-10.076
CDK2_01_000146,CCn1cnc2c(Nc3ccc(CC(=O)N[C@@H](N)[NH3+])cc3)nc(C)nc21,-10.073
CDK2_03_000789,Nc1ccc(CNc2ccc3ncc(-c4ccc(C(=O)NC[C@H]5CCC[NH2+]5)cc4)n3n2)cc1N,-10.069
CDK2_03_000697,Nc1cccc(Nc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)c1,-10.045
CDK2_03_000922,CC[C@@H](O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-10.030
CDK2_03_000580,COc1ccccc1CNc1nc(N2CCC[C@@H]2CO)nc2c1ncn2C(C)C,-10.009
CDK2_03_001080,CC(C)n1cnc2c(NCc3ccccc3)nc(N[C@@H](CO)c3ccccc3)nc21,-9.995
CDK2_02_000996,COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,-9.977
CDK2_03_002894,Cc1cnn2c(NC3CC3)cc(-c3n[nH]c4ccc(N[C@@H](C)O)cc34)nc12,-9.969
CDK2_02_000272,CC(C)c1cnn2c(Nc3cccc(N)c3)nc(N[C@@H](CO)C(C)C)nc12,-9.969
CDK2_02_000430,C[NH2+]C1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)CC1,-9.955
CDK2_03_000404,CC(C)n1cnc2c(NCc3ccc(N)cc3)nc(N3CCC[C@@H]3CO)nc21,-9.947
CDK2_03_002734,COc1cc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc(OC)c1,-9.939
CDK2_03_001916,FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1ccc2[nH]c[nH+]c2c1,-9.927
CDK2_03_000350,CC(C)n1cnc2c(NCc3ccccc3)nc(N3CCC[C@@H]3CO)nc21,-9.910
CDK2_01_006009,C[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)C[C@H]1n1cnc2c(=O)[nH]c(N)nc21,-9.905
