SMILES,DOCKING_SCORE
CC1=C2CC=NC(N)=C2C=C(NC(N)=O)[C@@H]1C(=O)N[C@H](CCn1c(=O)n(C)c(=O)c2ccc(F)cc21)CC(N)=O,-10.094
CC(=[NH2+])N(CC[NH2+]Cc1c[nH]nc1N(C)C)Cc1cc2c([N+](=O)[O-])cncc2cc1O,-9.942
NC(=[NH2+])N[C@H](C[NH3+])CN(Cc1cccc2c1ccc1cncn12)c1cccc(Cl)c1,-9.892
Nc1ncc2ccc(N3C[C@@H]([NH3+])[C@@H](O)[C@H](N4Cc5cccc(O)c5C4)C3)nc2c1C(=O)[O-],-9.853
CCNC1=CC2=C(N)N=CCC2=C(C)[C@H]1C(=O)N[C@H](CCn1c(=O)n(C)c(=O)c2ccc(F)cc21)CC(N)=O,-9.740
Cc1cccc2c1c(=O)nnn2CCCC[NH2+]CCCC[NH2+]Cc1ccc(O)c(Oc2cc(C(=O)[O-])c3ccccc3c2)c1,-9.637
CNc1ccn2ncc(C[C@@H]3C[C@@H]4[C@H](CO)C[N+](Cc5ccccc5)=C(N)N4CO3)c2n1,-9.550
Cn1c(=O)c2cncc3ccc4cc([C@H]5[NH2+]CCc6c(C(=O)[O-])cccc65)cc1c4c32,-9.459
C[C@H]1CC[N@H+]([C@@H]2CN(c3ccc4cnc(N)c(C(=O)[O-])c4n3)C[C@@H]([NH3+])[C@H]2O)CC1,-9.212
[NH3+][C@@H]1CC[C@H](C(=O)[O-])N[C@@H](C(=O)N2CCCc3cnccc3C2)[C@@H]1O,-9.205
O=C1C=Cc2cc(CN3C(=O)C[NH2+][C@H](CNc4ccccc4C(=O)N[C@@H]4CCC[NH2+]C4)C3=O)ccc21,-9.181
CC(=O)N[C@@H](C(=O)N1CCCc2cnccc2C1)[C@H](O)[C@@H](C)[NH3+],-9.148
C[NH2+]CCc1cc(Oc2ccc3ncn(CCC(=O)[O-])c3c2)cc(-c2cscn2)c1,-9.067
C[C@@H](O)[C@H]1C[NH2+][C@@H]2[C@@H]3C[NH2+]C[C@@H]3N(Cc3ccc4c(c3)C=CC4=O)[C@@H]2O1,-9.057
C/C(CCCC[NH3+])=C1\CO[C@H](c2cc3ccc4cncc5c(=O)n(C)c(c2)c3c45)[N@@H+]2CCCC[C@@H]2C1,-9.048
CN1Cc2c(O[C@H](C[NH+](C)C)c3cc4ccc(C(N)=O)c([O-])c4o3)ccc3cncc(c23)C1=O,-9.035
[NH3+]C[C@@H]1CN(Cc2cccc3c2ccc2cncn23)c2cccc(c2)COCC(=O)N1,-9.028
O=c1[nH+]coc2c1ccc1cnccc12,-9.003
COC(=O)N(C1=CC=C(c2cc(C[NH3+])cc3oc4ccc(C(N)=O)c(=O)c-4cc23)CC1)c1c(CO)c(F)cc(O)c1OC,-8.955
[NH3+]CC[C@H]1CCCC[C@H]1Nc1cc2ccncc2cc1NO,-8.953
Cc1cccc([C@]23[C@H](CNC(=O)c4ccnc5c(O)cccc45)CC[C@H]2[C@H](C(=O)[O-])[NH2+][C@@H]3c2ccccc2)c1,-8.935
CCCN(c1ccc2ccncc2n1)c1cc(Cc2ccccc2)cc(F)c1C[NH3+],-8.931
O=C1N=Cc2c(OCC[NH2+]CCO)ccc3cncc1c23,-8.911
CNc1nc2cnccc2c2c1CN(CC[N@H+](C)CC/N=C/c1ccc(F)cc1)CC2(F)F,-8.904
CC(=O)C1=CC(C(=O)NCc2cc(CN(CCC[NH3+])C(C)=O)ccc2O)=CC2=CN=C[C@H]21,-8.904
C[NH2+]Cc1cc(C)cc(F)c1CN1C[C@@H]2NC(=O)c3cnc4nccc5c4c3C2=C(C5)C1=O,-8.880
CN1Cc2c(O[C@H](C[NH+](C)C)c3cc4ccc(C(=O)[O-])c(O)c4o3)ccc3cncc(c23)C1=O,-8.859
Cc1c[nH]c(=O)nc1NCCC[C@H](c1cccc(-c2ccc3cnccc3c2)c1)[NH+]1CCCC1,-8.849
