SMILES,DOCKING_SCORE
COc1cccc(Cc2nc(Nc3ccccc3C(=O)[O-])c(C)c(=O)[nH]2)c1O,-10.250
Cc1c(Nc2ccccc2C(=O)[O-])nc(Cc2ccccc2O)[nH]c1=O,-10.188
Cn1nc(-c2ccc3c(c2)C(C(=O)[C-]2C=CC4=[NH+][C@@H]([NH3+])CCC4=C2O)=NC3=O)c(C(F)(F)F)c1[O-],-10.121
CC1=C(C(=O)[O-])C=CC[C@@]1(C)c1cc(C2=N[C@H](O)C=CN2)c2cnccc2n1,-9.994
O=C1C=C2Nc3c(ccc4[nH]nc(-c5cccc(O)c5)c34)N(O)C2=CC1,-9.926
O=C([O-])c1ccc(O)cc1Nc1cc(=O)[nH]c(NCCO)n1,-9.877
Cc1c(=O)c2cc(/C=C/C(=O)[O-])cc3c2n2c1c(=O)[nH]c1cc(C=O)cc(c12)[C@@H]3O,-9.800
C[C@@]1(c2cc(C3=N[C@H](O)C=CN3)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-9.797
NC(=O)c1cccc(-n2c(=O)c3c(O)ccc4[nH]c(=O)c5[nH]nc2c5c43)c1,-9.795
O=c1c2c(O)ccc3c2c(c2n1[C@@H]1CCCC1=C1[C@H]2C=NN1O)-c1c[nH]nc1N3,-9.776
NC(=O)c1cccc(-n2c(=O)c3c(O)ccc4[nH]c(=O)c5cccc2c5c43)c1,-9.672
COc1cc(O)c(C)c(Nc2cc(=O)[nH]c(NCCc3c(F)c(F)cc(F)c3F)n2)c1-c1c(C)ccc(O)c1O,-9.665
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5c(O)ccc(C)c5O)ccc24)N=N3)c2cc(F)ccc12,-9.656
O=C([O-])Cc1ccccc1-c1ccc2c3c(cc(O)cc13)C(=O)NC2=O,-9.645
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3ccc[nH]c3=O)c2)c2cc(F)ccc12,-9.633
O=C1NC[C@H](C(O)O)Cc2c1cc1c(=O)[nH]c3ccccc3n21,-9.617
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)N[C@@H]3CC=C[C@H](O)C3)c2)c2cc(F)ccc12,-9.581
NC(=[NH2+])c1cccc(C(=O)Nc2ncnc3c2CC=C(OCC(=O)[O-])N3)c1,-9.574
Cc1c(Nc2ccccc2C(=O)[O-])nc(C(=O)c2ccc[nH]c2=O)[nH]c1=O,-9.574
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5ccc(O)c(O)c5O)ccc24)N=N3)c2cc(F)ccc12,-9.541
COc1cc(O)c(C)c(Nc2cc(=O)[nH]c(NCCc3c(F)cc(F)cc3F)n2)c1-c1c(C)ccc(O)c1O,-9.530
COc1c(O)c(=O)n(-c2ccc3c4c(c(Cc5ccc6oc[nH+]c(=O)c6c5)ccc24)N=N3)c2cc(F)ccc12,-9.528
C[C@@]1(c2cc(C3=[NH+][C@H](O)CCN3)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-9.518
O=C([O-])Cc1cc2c3c(nncc3n3c(=O)nc(-c4cc(F)cc(O)c4O)cc23)n1,-9.509
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCC3=CCCNC3=O)c2)c2cc(F)ccc12,-9.466
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCCc5ccc(O)c(O)c5)ccc24)N=N3)c2cc(F)ccc12,-9.452
C[C@@]1(c2cc(-c3ncc4ccoc4n3)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-9.450
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3ccc(O)c(F)c3)c2)c2cc(F)ccc12,-9.448
COc1ccnc(-c2cc([C@]3(C)CC=Cc4c3cc[nH]c4=O)nc3ccncc23)n1,-9.435
O=C1N=C(c2coc(CO)c2)c2cc(-c3cc(O)cc4ccccc34)ccc21,-9.401
NC(=O)c1cccc(-[n+]2c([O-])c3c4c([nH]c(=O)c5c4c2C[NH2+]5)C=CC3=[OH+])c1,-9.396
COc1c(O)c(=O)n(-c2ccc(O)c(CCC(=O)NC(C)=O)c2)c2cc(F)ccc12,-9.385
COC(=O)CNc1nc(Nc2cc(O)ccc2C(=O)[O-])cc(=O)[nH]1,-9.371
O=c1[nH]c2ccc(O)c3c(=O)n4c5c(c1=CC(=[OH+])C5=[NH+]O[C@@H]4C(F)(F)F)c23,-9.365
COc1ccc(CNC(=O)Cc2ccc3c(-n4c(=O)c(O)c(OC)c5ccc(F)cc54)ccc4c3c2N=N4)c(O)c1O,-9.319
CN1C[C@H](CO)Cc2c(cc3c(=O)[nH]c4ccccc4n23)C1=O,-9.317
Cc1ccc2c(CC(N)=O)c3cnccc3nc2c1O,-9.296
COc1c(O)cc(O)cc1-c1cc2c3c(c1)c(=O)c(C)c1c(=O)[nH]c4cc(C=O)cc(c4n13)[C@@H]2O,-9.296
NC(=O)c1cccc(-n2c(=O)c3c(O)ccc4[nH]c(=O)c5csc2c5c43)c1,-9.280
CC1=C=NC2=C(O)[C-](C(=O)C3=NC(=O)c4ccc(-c5nn(C)c([O-])c5C(F)(F)F)cc43)C=CC2=[NH+]1,-9.255
CC(=O)n1ncc2c1N=C(c1ccccc1O)NC2,-9.252
NC(=O)c1cccc(-n2cc3c4c(ccc(O)c4c2=O)NC(=O)C3)c1,-9.238
O=C1NC(=O)c2cc(O)cc3c(-c4ccccc4F)ccc1c23,-9.228
COC1=C(O)/C(=C(\O)C2=NC(=O)c3ccc(-c4nn(C)c([O-])c4C(F)(F)F)cc32)Cc2ncnnc21,-9.216
[O-][N@H+]1C2=CCC([N-]O)=CC2=Nc2c1ccc1[nH]nc(-c3cccc(O)c3)c21,-9.171
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3ccc(O)cc3)c2)c2cc(F)ccc12,-9.166
O=C1C=C(c2ccc3c4c(cc(O)cc24)C(=O)NC3=O)CN1,-9.160
Cc1c(O)cc2c(c1-c1ccc(N)c(C(=O)NCc3cc(O)cc(O)c3)c1)CC[C@@H](O)C2,-9.159
Cn1nc(-c2ccc3c(c2)C(C(=O)[C-]2C=CC4=[NH+]C=C=C(O)C4=C2O)=NC3=O)c(C(F)(F)F)c1[O-],-9.126
NC(=O)c1cccc(N2CN3c4cccnc4Nc4ccc(O)c(c43)C2=O)c1,-9.118
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3ccnnc3)c2)c2cc(F)ccc12,-9.090
C[C@@]1(c2cc(-c3ncc4c(n3)OCC4)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-9.085
C[C@H]1ON=c2c(O)cc3c([O-])nc4ccc(O)c5c4c3c2=[N+]1C5=O,-9.085
COc1cc2c(Cc3cccc(O)c3)c(N)ccc2cc1CC(=O)CC(=O)[O-],-9.083
Cn1nc(-c2ccc3c(c2)C(C(=O)[C-]2C=CC4=[NH+]CC=CC4=C2O)=NC3=O)c(C(F)(F)F)c1[O-],-9.081
Cn1cnc2c(CC(N)=O)ccc(CN3C(=O)NCc4ccc(O)c(O)c43)c21,-9.076
O=C1NC(=O)c2cc(O)cc3c(-c4ccccc4)ccc1c23,-9.073
Cn1cnc2c(CC(N)=O)ccc(CN3C=CNc4c(O)ccc(O)c43)c21,-9.072
NC(=O)c1cccc(-c2cc(=O)[nH]c3cc(O)ccc23)c1,-9.071
O[C@@H]1CC=C2Nc3c(Nc4ccccc4)ncnc3N[C@H]2[C@H](O)C1,-9.067
C/C=C1\CNc2nc3ccc(O)c4c3c(c21)CN([C@H](C)CCCO)C4=O,-9.043
COc1cc2c(Cc3cccc(O)c3)c(N)ccc2cc1/C=C/CC(=O)[O-],-9.043
O=C([O-])CC1=NC(=O)c2cc(O)c(NC(=O)C(F)(F)F)cc2C1,-9.042
O=C1N=C(c2n[nH]c3ccccc23)c2cc(-c3cc(O)cc4ccccc34)ccc21,-9.040
O=C1N=C(c2ccncn2)c2cc(-c3cc(O)cc4ccccc34)ccc21,-9.030
COc1c(O)ccc(O)c1CNC(=O)Cc1ccc2c(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc3c2c1N=N3,-9.028
NC(=O)NC(=O)C1=NC(=O)c2ccc(C(=O)N(CCO)CCCO)cc21,-9.026
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3cc(O)ccc3O)c2)c2cc(F)ccc12,-9.024
Cc1c(O)cc2c(c1-c1ccc(N)c(C(=O)NCc3ccc(O)c(F)c3)c1)CC[C@@H](O)C2,-9.014
Cc1cnnc(C2=NC(=O)c3ccc(-c4cc(O)cc5ccccc45)cc32)c1,-9.012
Cc1c(Nc2ccccc2CO)nc(/C(O)=C2\C=CC=C[C@H]2O)[nH]c1=O,-9.008
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5c(O)ccc(O)c5O)ccc24)N=N3)c2cc(F)ccc12,-9.006
COC(=O)Cc1cc(-c2ccccc2O)c([O-])c2c(C)n[nH]c12,-9.002
O=C([O-])c1cc(C2=NC(=O)c3ccc(-c4cc(O)cc5ccccc45)cc32)c[nH]1,-9.000
Cc1c(Nc2ccccc2C(=O)[O-])nc(C(=O)c2ccccc2O)[nH]c1=O,-8.998
COc1ccc(-c2n[nH]c3ccc4cc(S(N)(=O)=O)ccc4c23)cc1O,-8.988
O=C1NC(=O)c2cc(O)cc3c(N4CCCC4)ccc1c23,-8.987
O=C([O-])CCOc1ccc2c(c1)c1ccnnc1c1[nH]cnc21,-8.979
CCCCNC(=O)c1cc([C@H]2OC[C@H](O)CO[C@@H]2C)cc2cn[nH]c12,-8.977
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5ccc(O)c(C)c5O)ccc24)N=N3)c2cc(F)ccc12,-8.977
C[C@@]1(c2cc(C3=NC4=C(CCO4)CN3)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-8.976
C[C@@]1(c2cc(C3=N[C@H](O)C=CN3)c3cnccc3n2)CC=CC2=C1CC=C2O,-8.967
C[C@@H](C(N)=O)c1ccc2cc(=O)[nH]c(CC(N)=O)c2c1,-8.961
CC(C)(c1cnsc1)c1cc(-c2[nH]c([O-])c[nH+]2)c2cnccc2n1,-8.957
O=C1N=C(c2n[nH]c3c(F)cccc23)c2cc(-c3cc(O)cc4ccccc34)ccc21,-8.956
Cc1c(Nc2ccccc2)nc([C@@H](C)O)[nH]c1=O,-8.955
COC(=O)Nc1cc2c3c(c1)c(N)nc(=O)n3[C@@H]1Cc3cc(O)c(O)cc3[C@H]3O[C@]31O2,-8.951
Cc1c(Nc2ccc(F)cc2C(=O)[O-])nc(-c2ccno2)[nH]c1=O,-8.947
CC1=c2[nH+]c3c(c(O)c2C(O)=C=C1O)=C(O)[C-](C(=O)C1=NC(=O)c2ccc(-c4nn(C)c([O-])c4C(F)(F)F)cc21)C=C3,-8.946
[H]/N=c1\[nH]c(=O)n2c3c1C=C(NC(N)=O)CN3[C@H](O)[C@]1(O)[C@H](O)[C@H](C(=O)[O-])[C@@H](O)[C@@H]21,-8.944
O=C([O-])c1cnc2cncc(NC(=O)[C@H](O)[C@H]3C[C@@H](O)[C@H](O)CO3)c2c1,-8.941
Cc1c(O)cc2c(c1-c1ccc(N)c(C(=O)NCc3ccc(O)cc3)c1)CC[C@@H](O)C2,-8.939
CCCNc1nc(Nc2c(C)c(O)cc(OC)c2C2=CNN[C@@H]2O)cc(=O)[nH]1,-8.937
O=C1N=C(c2cccnc2)c2cc(-c3cc(O)cc4ccccc34)ccc21,-8.935
NC(=O)CCn1c(=O)ccc2c(=O)n(CCC(=O)[O-])c(=O)[nH]c21,-8.927
O=C1N=Nc2c1c(Cc1c(O)ccc3c(O)cccc13)cc1nc[nH]c21,-8.920
Nc1ncnc2c(-c3ccccc3CC(=O)[O-])nc3ccncc3c12,-8.890
Cc1c(=O)c2cc(-c3cc(O)cc(O)c3O)cc3c2n2c1c(=O)[nH]c1cc(C=O)cc(c12)[C@@H]3O,-8.876
CC(=O)NC(=O)c1nccc2c(=O)n(C[C@H]3C[C@@H](O)C[C@H]3O)cnc12,-8.872
CC(C)(c1cnsc1)c1cc(-c2nccc(N)n2)c2cnccc2n1,-8.871
COc1ccc(NC(=O)C2=NC(=O)c3ccc(C(=O)N(CCO)CCCO)cc32)cc1,-8.870
COc1ccc2c(c1)nc(Nc1cc(C)ccc1O)c1nnccc12,-8.863
COc1cc(O)c(C)c(Nc2cc(=O)[nH]c(NCCc3c(F)cccc3F)n2)c1-c1c(C)ccc(O)c1O,-8.852
COc1ccc(CNC(=O)c2cc(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc2O)cc1,-8.850
C[C@@H](CCO)Cc1nc2c(cnn2[C@@H]2C[C@@H]2CC(=O)[O-])c(=O)[nH]1,-8.849
C[C@@]1(c2cc(C3=[NH+]c4occc4CN3)c3cnccc3n2)CC=Cc2c1cc[nH]c2=O,-8.847
Cc1c(O)cc2c(c1-c1ccc(N)c(C(=O)NCc3cc(O)cc(F)c3)c1)CC[C@@H](O)C2,-8.845
Cc1c(O)cc2c(c1-c1ccc(N)c(C(=O)NCc3cccc(O)c3)c1)CC[C@@H](O)C2,-8.840
Cn1cnc2c(CC(N)=O)ccc(CN3C=CNc4c(O)cccc43)c21,-8.835
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5c(O)cccc5O)ccc24)N=N3)c2cc(F)ccc12,-8.835
Cn1cc(C(C)(C)c2cc(-c3[nH]c([O-])c[nH+]3)c3cnccc3n2)cn1,-8.830
COc1cncc(CNC(=O)c2cc(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc2O)c1,-8.829
CC(C)(c1cn[nH]c1)c1cc(C2=[NH+][C@H](O)CCN2)c2cnccc2n1,-8.828
Cn1cnc2c(CC(N)=O)ccc(CN3CC=Cc4ccc(O)c(O)c43)c21,-8.824
Cn1c[nH+]c2c(CC(N)=O)ccc(CN3CN=Cc4ccc(O)c(O)c43)c21,-8.824
C[C@@H]1c2cc(O)ccc2Oc2c3c4c(ccc(O)c4c(=O)n21)[N-]c1ncccc1-3,-8.823
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)N[C@H](C)C(=O)[O-])c2)c2cc(F)ccc12,-8.822
Cc1c(=O)c2cc(-c3ccncc3)cc3c2n2c1c(=O)[nH]c1cc(C=O)cc(c12)[C@@H]3O,-8.820
O=C1N=C2OC=C[C@@H]2c2cc([C@@H]3C=CCC[C@H]3C(=O)[O-])ccc21,-8.818
COc1ccc(CNC(=O)c2cc(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc2O)cc1F,-8.809
CC(C)(c1ccsc1)c1cc(-c2ncnc(N)n2)c2cnccc2n1,-8.798
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCCO)c2)c2cc(F)ccc12,-8.798
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5cc(C)ccc5O)ccc24)N=N3)c2cc(F)ccc12,-8.793
CC1=C(C(=O)[O-])C=CC[C@@]1(C)c1cc(/C(N)=[NH+]/C(=O)[O-])c2cnccc2n1,-8.792
COC(=O)Cc1nc2ncn3c2c2c(c(-c4c(C)cc(O)cc4O)ccc12)NC(=O)C3,-8.791
O=C1N=C(c2ccncc2)c2cc(-c3cc(O)cc4ccccc34)ccc21,-8.791
O=C1CCCc2nc3ccc4[nH]nc(-c5cccc(O)c5)c4c3nc21,-8.790
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCc3cccc(F)c3)c2)c2cc(F)ccc12,-8.786
COc1ccc(O)c(CNC(=O)Cc2ccc3c(-n4c(=O)c(O)c(OC)c5ccc(F)cc54)ccc4c3c2N=N4)c1O,-8.780
COc1ccc(F)c(-c2ccc3c4c(cc(O)cc24)C(=O)NC3=O)c1,-8.779
COc1cc(O)c(C)c(Nc2cc(=O)[nH]c(NCCc3c(F)cc(F)c(F)c3F)n2)c1-c1c(C)ccc(O)c1O,-8.778
COc1cc(O)c(C)c(Nc2cc(=O)[nH]c(NCCc3c(F)ccc(F)c3F)n2)c1-c1c(C)ccc(O)c1O,-8.778
CNC(=O)[C@@H](C)C(=O)c1nc(Nc2ccccc2C(=O)[O-])c(C)c(=O)[nH]1,-8.773
COc1c(O)c(=O)n(-c2ccc3c4c(c(Cc5cnc6nc(CO)oc(=O)c6c5)ccc24)N=N3)c2cc(F)ccc12,-8.767
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCCC(N)=O)c2)c2cc(F)ccc12,-8.764
Cn1c(=O)c(CO)cn([C@@H]2OC[C@@H](OCC(N)=O)[C@H]2O)c1=O,-8.757
Oc1ccc2c(c1)OCC[C@H]2C1=Cc2ccnc3ncnc(c23)[N-]1,-8.750
O=C1C=C2C=CC(C(=O)[O-])=C[C@H]2C(=O)N1,-8.747
COc1c(O)c(=O)n(-c2ccc(O)c(C(=O)NCC(=O)[O-])c2)c2cc(F)ccc12,-8.745
COc1cc(O)cc(O)c1CNC(=O)Cc1ccc2c(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc3c2c1N=N3,-8.743
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5cccc(C)c5O)ccc24)N=N3)c2cc(F)ccc12,-8.743
C[C@@H](C(=O)OCCO)c1ccc2cc(=O)[nH]c(CCCO)c2c1,-8.736
O=C1Nc2ccccc2N2CC([C@H](O)c3ccccc3)=CC=C12,-8.736
COc1cccc(O)c1CNC(=O)Cc1ccc2c(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc3c2c1N=N3,-8.734
COc1cccc(-c2c([O-])n3c[nH+]c(=O)c4nc(-c5cc(C)cc(F)c5)n(c2=O)c43)c1,-8.733
COCCOC1=CCc2c(NC(=O)c3cccc(C(=O)[O-])c3)ncnc2N1,-8.731
C[C@H]1[NH+]=C2C=C[C-](C(=O)C3=NC(=O)c4ccc(-c5nn(C)c([O-])c5C(F)(F)F)cc43)C(O)=C2NC1=O,-8.729
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5cc(C)c(O)cc5O)ccc24)N=N3)c2cc(F)ccc12,-8.725
O=C(NCCCCO)c1cc(-c2ccncn2)cc2cn[nH]c12,-8.722
CC(=O)n1c(=O)nc2n(CCC3=[NH+]NCN3)c([O-])ccc-2c1=O,-8.717
COc1c(O)c(=O)n(-c2ccc3c4c(c(CC(=O)NCc5cccc(O)c5O)ccc24)N=N3)c2cc(F)ccc12,-8.717
O=C(Nc1cccs1)C1=NC(=O)c2ccc(C(=O)N(CCO)CCCO)cc21,-8.715
O=C1N[C@@H]2C=CC=CC2=C2[C@H]3c4ccccc4C(=O)N3CCN12,-8.710
COc1c(O)c(=O)n(-c2ccc3c4c(c(Cc5ccc([NH+](C)C)c(C(=O)[O-])c5)ccc24)N=N3)c2cc(F)ccc12,-8.710
NC(=O)c1cccc(-n2c(=O)c3c(O)ccc4[nH]c5nccc6c5n(c2=CC6)-c43)c1,-8.705
COc1cccc(CNC(=O)c2cc(-n3c(=O)c(O)c(OC)c4ccc(F)cc43)ccc2O)c1,-8.705
C[C@@H](C(=O)[O-])c1ccc2cc(=O)[nH]c(CC(N)=O)c2c1,-8.704
Cc1c(Nc2ccccc2CO)nc(-c2ccno2)[nH]c1=O,-8.698
[NH3+]CCCNC(=O)C1=NC(=O)c2ccc(C(=O)N(CCO)CCCO)cc21,-8.697
Cc1c(=O)c2cc(-c3ccc(O)cc3)cc3c2n2c1c(=O)[nH]c1cc(C=O)cc(c12)[C@@H]3O,-8.689
