SMILES,DOCKING_SCORE
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C4CCOCC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-11.189
O=C([C@H](C[NH2+]CCO)c1ccc(C(F)(F)F)c(F)c1)N1CCN(c2ncnc3[nH]cc(Cl)c23)CC1,-11.180
CS(=O)(=O)NC[C@H]([NH3+])[C@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-11.092
[NH3+][C@H](Cc1ccc(Cl)c(F)c1)C(=O)N1CCN(c2ncnc3[nH]cc(C4CC4)c23)CC1,-11.022
[NH3+]C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1,-10.969
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H](C[NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.960
[NH3+]C[C@H](Cc1ccc(C(F)(F)F)c(F)c1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,-10.916
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)CO)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.912
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(C4CC4)c23)CC1,-10.881
C[C@@H]([NH3+])C[C@@H](C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(C(F)(F)F)c(F)c1,-10.801
c1nc(N2CCc3[nH]c[nH+]c3C2)c2cc[nH]c2n1,-10.789
CCc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Br)cc4)CC3)c12,-10.766
CC(C)[NH2+]C[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(C(F)(F)F)c(F)c1,-10.726
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]CC4CC4)c4ccc(C(F)(F)F)c(C(F)(F)F)c4)CC3)c21,-10.661
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(Cl)c23)CC1,-10.647
[NH3+]C1(C(=O)N[C@H](CCC[NH+]2CCOCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.638
C[NH+](C)CC[C@H](Cc1ccc(Cl)cc1)NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1,-10.599
CN(C)C(=O)Oc1cccc(NC(=O)C2(C[NH3+])CCN(c3ncnc4[nH]ccc34)CC2)c1,-10.589
[NH3+][C@@]1(C(=O)N[C@H](CC[NH+]2CCCC2)c2ccc(Cl)cc2)CCCN(c2ncnc3[nH]ccc23)CC1,-10.583
CCc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.559
[NH3+]CCC[C@H](NC(=O)c1coc(-c2ccnc3[nH]ccc23)c1)c1ccccc1,-10.555
Nc1nc(-c2ccnc3[nH]ccc23)sc1OC[C@@H]([NH3+])[C@H](C[NH3+])Cc1ccccc1,-10.550
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]CC4CC4)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.538
Cc1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(F)cc4)CC3)c12,-10.532
[NH3+]C1(C(=O)NCc2cccc(F)c2)CCN(c2ncnc3[nH]ccc23)CC1,-10.525
Cc1c[nH]c2ncnc(N3CCC(C[NH3+])(C(=O)Nc4ccncc4)CC3)c12,-10.512
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c21,-10.508
[NH3+]C[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]cc(Cl)c23)CC1,-10.472
Cc1c[nH]c2ncnc(N3CCC(C[NH3+])(C(=O)Nc4ccc(F)cc4)CC3)c12,-10.471
Cc1cc(C(=O)N[C@H](C[NH3+])Cc2ccccc2)sc1-c1ccnc2[nH]ccc12,-10.466
CC(C)c1c[nH]c2ncnc(N3CCN(C(=O)[C@H]([NH3+])Cc4ccc(Cl)cc4)CC3)c12,-10.458
C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(C(=O)[C@H](C[NH2+]C(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,-10.447
C[C@H](NC(=O)[C@@]1([NH3+])CCN(c2ncnc3[nH]cc(Cl)c23)CC[C@H]1O)c1ccc(Cl)cc1,-10.447
NC(=O)C[C@H](NC(=O)C1([NH3+])CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,-10.434
[NH3+][C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3[nH]ccc23)CC1,-10.421
Cc1c[nH]c2ncnc(N3CCC(C[NH3+])(C(=O)Nc4cccc(C(F)(F)F)c4)CC3)c12,-10.418
[NH3+]C1(C(=O)NCc2cccc(Cl)c2)CCN(c2ncnc3[nH]ccc23)CC1,-10.372
[NH3+]C[C@H](Cc1ccc(F)c(F)c1)NC(=O)c1cc(-c2ccnc3[nH]ccc23)c(Br)o1,-10.354
[NH3+]C1(C(=O)NCc2ccc(F)cc2)CCN(c2ncnc3[nH]ccc23)CC1,-10.345
