SMILES,DOCKING_SCORE
CC[C@H]([NH3+])[C@@H](Cn1c(C)c2c(c1CO)CNC2=O)C(=C=C1C=CCC(OC)=C1)NC[NH3+],-10.764
CC(C)C[C@H](CC(N)=[NH2+])C/C1=C\C(=O)/N=C2/CN=C(N)C2=C=C(CC(=O)[O-])C1,-10.307
[H]/N=C/c1c(N)nc(N)c2ncnc([C@@H](O)[C@H](O)[C@H](C)[NH3+])c12,-10.176
CCCC/N=C(/C=C\C=N/c1ccnc2ncc(CC(N)=O)nc12)CC(N)=[NH2+],-9.955
[H]/N=C1\N=CN=C2CCN3C4=C(C=C1[C@H]23)C(OO)=NC[C@@H]4N[C@@H](C[NH3+])[C@@H](O)CC[C@H](C)O,-9.938
C[C@H]1C[C@H](NC[NH3+])[C@@H](O)[C@@H]1/[NH+]=c1\oc2ncncc2cc1O,-9.902
C[C@@H]1C(=O)NCC[C@H](C)[C@H]1C[NH2+]CC[C@@H](CC[NH3+])[C@H]([NH3+])C(=O)[O-],-9.894
C[C@H]1C=CC(=C=C(CC(N)=[NH2+])[C@@H](C)Cc2ncnc3ccc(C(=O)[O-])cc23)C=C1O,-9.881
C[C@@H](O)C(=O)N[C@@H](C[NH3+])[C@@H](C)c1ccc2c(c1)C(=O)NC2,-9.870
NC(=O)CC[C@@H](C[NH3+])O[C@H]1CC=C2C(=N1)[C@H](C(=O)[O-])N=C1C(N)=NC[C@@H]21,-9.855
NC(=[NH2+])C[C@H]1C=CC(Cl)=C[C@@H]1C1=C=C2CC=NC=C2C=CC1=O,-9.777
CC[C@H]1N[C@@](O)(Cc2ccnc3ccc4nc(=O)[nH]cc4c23)CC[C@H]2[NH2+]C[NH2+][C@@H]12,-9.723
C[C@@H](O)CC#C[C@H](CO)N[C@@H]([NH3+])CC[C@H]1[C@H](C(=O)[O-])C2=CCNC(=O)C2=C[C@@H]1C,-9.717
C[C@@H](O)C[C@H](NC[NH3+])S/C=C1/N(Cl)C(=O)Cc2nc(=O)ccn21,-9.682
CC1=C2C=C([C@H]3C[C@@H]([NH3+])C[C@@H]([NH2+]CCO)[C@@H]3O)NC[C@H]2CN1,-9.676
NC(=O)CC1=CCC(=O)c2ccc(C[C@@H]3NC[C@@H]([NH3+])C[C@H]3[C@H]3C[C@H]4CCC[NH2+][C@H]43)cc21,-9.661
COc1ccc(N[C@H]2C(N)=[NH+]C3=CC=C[C@H](c4cc(C)cc(O)c4Cl)[C@H]32)cc1,-9.610
C[C@H](O)[C@H]([NH3+])[C@H](O)[C@@H]1CC=C[C@H]2C(O)=CC=C(C[NH3+])[C@H]12,-9.603
CN(CC/N=C(/CN)NC1=CCOCC1)c1ncnc(N)c1C1=N[N@H+]([O-])CN1,-9.593
CC(=O)CCCN(NC[NH3+])[C@H]1Cc2cc[nH]c(=O)c2C[C@@H]1O,-9.551
C[NH2+]C[C@H](NC[NH3+])[C@@H]1C(=O)N=NC2=C(O)CCC(=O)N21,-9.496
C[C@H](Cc1[nH]c2c3c1NC=NCC=3CC=2C(=O)[O-])[C@@H]1C[C@@H]([NH3+])C[C@H]1C,-9.494
CCNC(=O)[C@H](/C=C1/CC=C2C(O)=COc3ccc(O)c(c32)[N-]1)C[NH2+]N[NH3+],-9.466
C[C@H](O)C/C=C/C[C@@H](Nc1nc2ccncc2cc1CO)C(N)=O,-9.453
CO[C@@]12C=C([C@H](C[C@H](O)CO)[C@@H](N)[NH3+])C=CN1C(=O)C(N)=N2,-9.451
CC(C)[C@@H]1[C@@H](c2ccc3cnc(N)nc3c2)CC[N@H+]1CN,-9.446
CC(=O)CNC[N@@H+]1CNC(=O)c2ccc3c(c2[C@H]2C=CC=C([C@@H](O)C[NH3+])[C@@H]21)CCO3,-9.427
C[C@@H](O)C[C@H](O)CC[N@H+](CCO)CCc1ncnc2c1/C(=N/C(N)=O)CN2,-9.398
[H]/N=C1/[N-]c2[nH]c3nccc([C@@H](C)C(=O)O[P@+](O)(NC[C@H](C)O)[C@@H](C)[NH3+])c3c2C1=O,-9.380
CC(=O)CCC[C@@H](CCC[NH3+])[C@@H]([NH3+])CC1=CCC(O)=C2C=CC(O)=CC=C12,-9.354
CC[C@@H](C[C@@H](O)C(=[NH2+])N[C@H]1COC(=O)C1)[C@@H](C(N)=O)N1C=CNC(=O)C1,-9.348
[NH3+]CN(O)C[C@H]1CC[N@@H+]2Cc3cnccc3[C@@H]12,-9.347
COCCCC[C@H]([NH2+][C@H](O)CO)c1ccc2c(c1)[C@@H]1C3=C(C=C([O-])[C@H]1C[NH3+])NC(=O)C3=C2,-9.336
[H]/N=C/c1cc(N)c2nccc(CC[C@H](CCCC[P+](C)(O)O)[NH2+]C)c2c1,-9.307
Cc1cnc(C)c(Cl)c1C[C@H](O)C(=O)O[C@H](O)CC[NH3+],-9.299
CN(O)C1=CNC(=O)C2=C([O-])C[C@@H]([NH2+]C[C@@H](C(N)=O)[C@H]3C[N@@H+](C)CN3)[C@H]12,-9.297
CC(=O)CC[C@H]([NH3+])CCC[C@@H]1c2cc(=O)[nH]cc2N2C(=O)NNN12,-9.297
O=C([O-])CCCC[C@@H]([C@@H]1CC[C@H]2C1=NC1=C(C(CO)CO)N=CNc3n[nH]c2c31)[C@@H](O)CNO,-9.273
C[C@@H]1C=C/C(=C/[C@@](C)(NC(=O)c2ccc(C(N)=O)c(Cl)c2)C(N)=[NH2+])CC1=O,-9.233
[H]/N=C1\N[C@@H](C(=O)[C@@H](COCCC(=O)[O-])[C@H](O)C(N)=O)N=C2C1=CC=C([O-])[C@@H]2Cl,-9.230
CC(=O)c1cc(S[C@@H](C)N(C)CC[NH3+])c2ccnc(C)c2c1,-9.225
CC1=C2S[C@@H]([C@@](O)(CC[NH3+])CCCC(=O)[O-])C(N)=C2CC(N)=C1O,-9.212
Cn1c(CCC[N@@H+](C)N)nc2c(C[NH3+])ccc(O)c21,-9.206
CC(=O)[C@@H](C)C=C=C1C[C@@H](c2cnnc(Cl)c2)C=N[C@H]1C(N)=[NH2+],-9.194
Cn1c(N)nc2nc3ncccc3c(CC[C@@H]3C[C@@H]([NH2+]CO)[C@H](O)C(=O)O3)c21,-9.170
C[NH+](C)[C@@H](C/C=C\C1=C2NN=C3OC4=C(C(=C1)[C@H](F)C(=O)[C@@H]4O)N32)CCC(N)(N)[NH3+],-9.144
C[C@@H](O)[C@@H](C=C=C=C=CC1=CC(=O)[C@@H]2C=NC=C(NC(=O)[O-])C2=C1)NC[C@@H](O)C[NH3+],-9.140
Cc1cc([C@H](CC(=O)[O-])CN(O)[C@@H](C(N)=[NH2+])C2=CCC=CC2)ccn1,-9.125
CC[C@H](C)CN[C@@](O)(NC(=S)c1cc(O)cc2c1CCO2)[C@H](N)C[NH3+],-9.121
CC[C@H](Cc1[nH]c(=O)n2c1S[C@H]1C(C)=NCC(=O)[C@@H]12)[NH2+]CC(N)=O,-9.115
C[C@@H](CO)N[C@@H](C[NH3+])C1=C=c2c(C=O)ccc(O)/c2=C/C=C\C1,-9.108
NC(=O)CO[C@@H]1C2=c3ccnc4c3=C(NC4)C(=O)C[C@@H]2S[C@H]1NC[NH3+],-9.104
N#CCc1c2c3c(n1CC/C=C/[C@@H](/C=C/N)CCC(=O)O)=CCC=NC=3NC2,-9.104
O=c1[nH]c2c3c([C@@H](CCCCCO)[C@@H]4CN[NH2+]C4)cccc3c3ncnc4c3c2c(c1CO)C4,-9.098
C/C=[NH+]\[C@@](CC[NH3+])(C[C@@H]1CCC2=C1[C@H]1C(=CC=C(CO)[C@H]1O)NC2=O)NCCCOC,-9.095
C[C@@H](C[C@H]1C(=O)Nc2cc(N)[nH]c21)O[C@H]1[NH2+]CC[C@H]1C[NH2+]CC(N)=O,-9.091
CC[C@H]1[C@@H](N[C@@H]([NH3+])C[NH3+])[C@H](N(O)O)c2ccccc2[C@@H]1C,-9.089
[H]/N=C1\C=CC2=NC(N[C@H](O)CCC[NH3+])=C(C(=O)[O-])CC2=C1C,-9.079
CN1C2=C([C@H](C(=O)[O-])C(=O)C2)[C@H](NC(=O)c2ccc(O)cc2)[C@H]1C[NH3+],-9.071
CC(=O)NC[C@@H](C/C=C1\CCC2=CNCC=C21)[C@@H](O)C[NH3+],-9.065
O=c1[nH]cc(O)cc1CCON1CC[C@@H](CCO)[NH2+][C@H](c2cccc(O)c2)C1,-9.045
CC(=O)Oc1c(NC[C@@](O)(C[NH3+])CCCC2CCCC2)cn(C)c(=O)c1C,-9.045
C[C@H](O)C(=O)N[C@H](CO)CCc1cc2cncc3c2c(c1NO)CO3,-9.037
C[C@@H](C[C@H]1CC[C@@H]([NH+](C)C)C1=O)[NH2+]C[C@@H]1C=CC=C2OC=C3C(=O)C=CC(CC(=O)[O-])=C3[C@@H]21,-9.030
CCCC[C@@H]1C[C@H]([C@@H]2C3=C(CC=C(OC)C3)N2C)[C@@H](C(N)=[NH2+])N1,-9.025
CC[NH2+]C[C@H](CCCC[NH3+])Nc1c(O)c(O)cc2c(Cl)c(O)cc(Cl)c12,-9.019
CCC[C@H](Cl)C[C@@H](CC[NH3+])SC1=NC2=CC=CC(=O)C2=CC1,-9.010
CCOC(=O)C[C@@H](C[NH3+])[P+](O)(O)O[C@H]1C=CC=Cc2ccc(O)cc21,-9.006
C[C@H](CO)CCN1CC[NH+]=C1[C@@H](O)N[C@@H]1c2ccnc(N)c2C2=NNC=C[C@H]21,-9.002
CC(=[NH2+])N1CC[C@@H]([C@@H](N[NH2+]N)c2cccc3c2[C@@H]2C(N)=N[C@@H]4SC5=NN=C[C@@H]3C5=C24)C1,-9.000
C[C@@H]1C2=C3C(=O)NC3=NCN2CN1C(=O)C[C@@H]([NH3+])C/C=C/CC(=O)NC[NH3+],-8.997
C[C@@H](CO)CCC(=O)O[C@H](N)[C@@H](O)[C@@H](CO)OCc1ncnc2c1NCN2,-8.994
C[C@]1(O)CC2=C[C@@H]3CN4C(=O)NC=C(C(=O)NN)[C@H]4C3=CN2C(=O)[C@@H]1[NH3+],-8.992
CC(C)[NH2+]CC[NH2+][C@H]([C@H](C)O)[C@H](C[C@@H]1Nc2cc[nH+]c3c2C(=C1C(N)=O)CC3)N[C@@H](C)[NH3+],-8.989
CC(C)[C@H](C)C(=O)N[C@](C)(CO)[C@@H](O)[C@H](O)CCON1C=C(N)[N-]C2=CNC(=O)C2=C1,-8.988
[NH3+]C[C@H](c1cccc([C@H]2C=CCCC2=O)c1)[C@H](O)CCO,-8.980
CN1C(=O)C(C(N)=O)=C2CCC(N3C[C@H](NC(N)=O)C[C@H](O)[C@@H]3[NH3+])=C21,-8.980
NO[C@@H]1CC2=CCC=C3C4=C([C@@H](O[C@H](CC(N)(N)[NH3+])[C@@H]5COC(=O)C5)CC4)N1N23,-8.974
COC(=O)C[P@@+](O)(Nc1cc(C(=O)[O-])c2c(c1)N(C(=O)[O-])CC2)[NH2+][C@@H](O)[C@H](C)N,-8.968
COCCC[C@H]([NH3+])C[C@H](O)CN1CNC2=C1/C(=N/C(N)=O)C=CC2=O,-8.962
Cc1ccc(-c2[nH]c(Nc3ccncc3-c3cnc(CO)cn3)cc2C[NH3+])cc1,-8.946
C[C@@H]1C=N/C(=C\[C@@H](O)C(=O)N[C@@H](CC[NH3+])c2cccc(O)c2)C=C1O,-8.945
CO[C@@H]1CC2=C(C1)N(C(C)=[NH2+])C[C@@H](O)CC1=CC[C@@H]3CNC4=C(C(N)=O)/C(=[NH+]/2)C=C1N43,-8.943
NC(=O)C1=CC2=C3C(=CN=CN3C[C@H]3CC[C@@](COC4=CCC(=O)OC4)([NH2+]CC[NH3+])C[C@@H]23)O1,-8.935
CN(/C=C1\C=CN=C2OC=C3C=C(O)C(O)=C[C@@H]3[C@H]21)C[NH3+],-8.926
CC1=C(CC[C@H](N)C(N)=[NH2+])c2c(C(=O)[O-])[nH]c3c2C1=C=CO[C@H]3N,-8.919
CCCO[C@@H](C(N)=[NH2+])C1=CN(C)c2[nH]c(=O)cc([O-])c2[C@H]1N(O)O,-8.915
Cn1c2c(c(CC[C@H]3N=[NH+]C(N)=NC4=C3CC=CC4)cc1=O)CN(C(=O)[O-])C2,-8.909
CN1C(=O)c2ccc(O)cc2OC[C@@H]1CC[NH3+],-8.909
C[C@@H](CCNC1=C(C[C@@H]([NH3+])CCO)C=C(F)CC2=C3CC(=O)CC=C3[C@@H](C(=O)[O-])[C@@H]21)[NH+](C)C,-8.903
CC(=O)CCCC[N@@H+](CO)[C@@H](C)C(=O)N[C@H](C[NH3+])[C@H]1CCc2ncccc21,-8.902
CCO[C@@H](CC1=C=C(C(=O)NN)c2nc[nH]c(=O)c2CCC1)[C@H](C)[NH3+],-8.895
NC(=O)CC[C@H](C[NH3+])C[N@@H+]1Cc2cnc(N)c3c2[C@@H]1[C@H](CO)N3,-8.894
[NH3+]CCO[C@H](CO)CNSCC1=C2N=CCN=C2NC1,-8.870
CCCCC[N@H+](C[C@@H](N)C[NH3+])[C@@H]1[C@@H](C(=O)[O-])[C@@H]2[C@@H](C)C(=O)C(=O)N2C[C@@H]1O,-8.870
NC1=[NH+]CC[C@@H](O[C@@H]2COC(=O)C2)[C@]12Nc1c(O)cc3c4c1[C@@H](N2)OC=C4C1=CC=NC(=O)[C@H]13,-8.866
Cc1cc2c(c(O)c1O)CCN2[C@@H]1N[C@@H](N)[C@H]([NH3+])[C@H]1c1cccc(O)c1,-8.858
COCC[C@@H](c1cccc2c1-c1cc(O)cc3c1[C@@H](C=C2)C(=O)C3)[C@@H](O)C[NH3+],-8.854
CC(=O)[C@H]1CC2=C=C(CCC(=O)C2)CC[C@H]1C(N)=[NH2+],-8.854
C[N@H+]1C[C@@H]2Cc3c(O)ccc(C(=O)[O-])c3[C@@H]2C[C@H]1[C@@H](C[NH3+])NC[C@@](C)(N)O,-8.846
CC(=O)N[C@H](CNC1=CC=CC=C[C@H]1OCC(=O)c1cnc2c(N)ncnc2c1)[C@H]1COC[C@H](C)O1,-8.846
CC1=NNC2=CC[C@@H]([C@@H](O[C@H]3CCC(=O)OC3=O)[C@@H]([NH3+])CO)C[C@H]21,-8.844
C[C@@H]1C(=O)[C@H](C)c2cc(N)[nH+]cc2[C@H]1OC[C@H](C)N(C[NH3+])CO,-8.842
CC[C@H]1CC[C@H](C[C@H](NO)NC2=[N+](C)c3ncnc(C)c3[C@H]2C)[C@H]1O,-8.834
[H]/N=C/c1cc(C(N)=O)cc([C@H](O)[C@@H]([C@H](C)O)[C@@H](O)C[NH+]=C)c1Cl,-8.832
CC1=C(c2ccncc2C)C[C@H]([NH2+][C@@H](c2ccc(C)cc2)[C@@H](C)C[NH3+])C1,-8.831
CC[NH2+]CC[C@@H]([C@@H](O)CC[NH3+])[C@H]1Nc2nc(C)[nH]c(=O)c2N(O)C1=O,-8.826
[H]/N=C1\C(=O)C=C(C[C@H](C)NC(=O)[C@H]2OC[C@@H](CC(=O)[O-])[C@H](O)[C@@H](O)[C@@H]2C[NH3+])C[C@@H]1C(=O)CC[NH3+],-8.825
[H]/N=C1\N=CC2=CC=C([C@@H](CC[NH3+])NOCCC)/C(=N/C(=O)OC)C2=N1,-8.811
[H]/N=c1\[nH]c2c([nH]1)=C1C3=C(C[C@@H]1C(=O)NC=2)C[C@@](S)(C[C@H](C)[C@H](C)[NH3+])C3,-8.808
[NH3+][C@H]1CS[C@@H]([C@H](O)CO)[C@@H]1CCS[C@@H]1CCC=CC(=O)C1,-8.808
CONc1cc2c(N)nccc2cc1[C@@H]1O[C@H]2CC[C@@]13C[NH2+]C[C@@H]23,-8.806
C[C@H](CO)N[C@H](CC[NH3+])CO[C@H]1CC/C(=C2\C(=O)N=CC=C2N=C(N)N)C1,-8.797
C[C@H]1C(=O)C=C(NC[C@H](c2ccc(Cl)cc2)[C@H](O)C[NH3+])c2nccnc21,-8.794
CC(=O)C[NH2+]C[C@H]1[C@@H](O)[C@@](C)(On2cnc(=O)c3cnc4c(c32)CCC4=O)N[C@@H]1O,-8.790
CC(=O)c1cc(N[C@@H](O)[C@H](O)C/[NH+]=C(/C)C[C@H](C)O)c(C(=O)[O-])nc1N,-8.785
Cc1c(-c2cc([C@H](O)CC[NH3+])cc(O)c2O)nc[nH]c1=O,-8.765
NC(=O)CC1=C[C@H](NCC[NH3+])[C@@H](c2ccc3c4c(ncnc24)NC3)C(Cl)=C1,-8.756
CC1=[NH+]C(=O)N2C=CCC3=C2N1[C@@H](CCCC[NH3+])[C@@H]3C(=O)N[C@@H]1CC=C[C@@H](O)[C@@H]1O,-8.756
C[C@@H]([NH3+])CN1C[C@@H]2C[C@H](CC[C@@H]3N[NH+]=C4NC(=O)C5=C(CC=C[C@H]5O)C[C@@H]43)C[C@@H]2[C@H]1C(=O)Nc1cccc(O)c1,-8.745
C[NH2+]NC[C@@H](C[NH2+]C[C@@H](C)C[C@@H]1CN=C2Cc3cc(O)ccc3[C@@H]21)Cc1ccccc1,-8.745
C[NH2+]C[C@@H]1[C@@H](O)[C@@H](O)c2cc(N)cc3c2[C@H]1CCC3,-8.739
CC1=C2c3ccc(CN4c5ccc(Cl)cc5O[C@@H]4C[NH3+])cc3[C@H](C(=O)NN)[C@H]2OC=N1,-8.739
[NH3+][C@H](CO)[C@H](CCc1ccnc2c1Oc1cc(O)c(O)cc1C2)[C@@H]1C=CC(=C=O)C(F)=C1,-8.737
CC(=O)C[C@@]1(CC[NH3+])NCC2=C1C=C[C@H]1CNC(=O)C=C21,-8.734
[H]/N=C1/NC(=O)[C@H]2C1=NC(=O)C(CC(O)(O)C(N)=O)=C2Cl,-8.727
NC(=O)CCCC[C@H]1O[C@@]([O-])(O[n+]2ccnc(N)c2CCNO)[C@H](O)[C@@H]1O,-8.724
CC(C)[NH2+]Cc1ccc2cc3c(cc2c1[C@H](O)COCCO)C=CCC3=O,-8.720
C[C@@H](C[NH3+])N[C@@H](C(=O)NCCC[NH3+])c1ccc2c(c1)-c1c(n[nH]c1[S-])C2,-8.720
[H]/N=C1/NC(=O)[C@H]2C=C(CC[NH3+])[C@@H]([C@@H](O)[C@H]([NH2+]Cc3ccccc3)[C@H](C)[C@](C)(N)O)C3=C2N1C=C(C(=O)[O-])N3,-8.699
[NH3+][C@H]1C[C@H](O)N(CCN2Cn3c4c(cnc3=O)N3C=NC=C(F)[C@H]3[C@@H]42)C1,-8.694
