SMILES,DOCKING_SCORE
NC(=O)NC(=[NH2+])CNc1c[n+](CN2CCC[C@H](O)C2)n2c1NCc1ccccc1-2,-11.328
C[C@@H](CNC1=NC=C2CC=c3[nH]c4[nH]c5c(O)cccc5c4c3=C2C1=O)C1=CCC(CO)=NC1,-10.763
C[C@H](CO)CC(=O)CN1C2=C[C@H](O[C@@H](C)[NH3+])C=C[C@H]2c2c(C(F)F)cncc21,-10.735
O=C([O-])C[C@@H]1Cc2c(c3c(O)cc(Cl)cc3n2C2=CCC(O)(O)CN2)N1,-10.571
CN(CCO)c1ccc(-c2cc(F)c(N)c3c2CN(c2ccc(CO)cc2)C3=O)cc1,-10.416
C/C(=C\CC[C@@H](Cl)[C@H]1Oc2c(C(C)(C)O)ccc3c2C2=C1CN[N+]2=CN3)[N-]O,-10.399
Cc1cncc2c3c(nnc12)[C@](C)(NC(=O)CCO)C[C@H]3[C@H]1C[C@@H](O)CC[NH2+]1,-10.379
C[C@@H](Nc1n[nH]c2c1CC1=C(NN[C@@H]1[C@@H]1CCCC1(O)O)N2C)OCO,-10.212
CC1=NC[C@@H]2N=C3CCO[C@H]4C(=O)C(NCCC[C@@H](C)O)=NC(=C34)C2=C1,-10.188
O=C1[N-]Oc2cccc3c2C2=C1C1=C4C2=C(CN4C2=C(CC=NC2)N1)[C@](O)(CCCO)C3,-10.182
NC(=O)CCOC1=C2C(=C(CCCO)C1)NC=Nc1ccccc12,-10.181
O=C1/C(=C\NCC[NH2+]CO)C2=NC([C@@H](O)C3CCC3)=C3C=CCC=C3N12,-10.142
CN/C(=N\C=[NH2+])C1=CCc2nc3c4c(cn[nH]c(C5=CCC(F)=CC5)nn4c2C1)CC3,-10.127
C[P+](O)(O)NC(=[NH2+])c1cc(N[C@H]2CCC[C@H]2O)c2c3ccc(F)c4c3n(c2n1)CN4,-10.102
CC(N)=[NH+]C(=O)CCN1NC2=CCC=C3C2=C1C=C1C=CC(N)=[NH+]C[C@@H]13,-10.075
Cc1cc(CC[C@H](C)O)c2ccc(NCC=O)c(O)c2c1O,-9.982
Nc1c(CNO)cc2c3c1C(=O)N=C1C(F)=CC=C([C@@H]13)[C@@]1(O)C[C@H]3CC(=O)C[C@H](C3)N21,-9.939
COOC/C=C/c1cc(NC[C@@H](C)[NH3+])c(O)c2c(C)c(O)ccc12,-9.933
CCN(C)c1cnc2[nH]c3[nH]nc(NC[NH2+]CCO)c3c2c1,-9.927
NC(=O)/C=C1\CC2=C(N1)N1C(=O)CCC(=O)[C@@H]1C[C@@H]2C[C@@H]1CCOC1,-9.926
O=C1C2=C(CCC2)c2c(NC3CCCC3)nc3c([n+]21)NCCN3,-9.920
Nc1n[nH]c2c1cc(-c1ccncc1)c1cc(CO)ccc12,-9.898
CC[C@H](O)C(=O)N1CCC2=C3[C@H](C1)Nc1c(-c4ccc([C@@H](C)C(=O)[O-])cc4)cnc4[n+]1[C@@H]3[C@H](CN4)C2,-9.889
O=C1C[C@@H](CC[PH](=O)[O-])c2nc3c(NC4CP(O)C4)ccnc3n21,-9.882
CC1=CC=NC(OCNC2=[NH+]N([O-])CC2)=C2CN(C(=O)C(CO)CO)C(=O)[C@@H]12,-9.848
O=C1CC(CCc2ccc(O)cc2)=Cn2c([C@@H](O)C3C=CC=CC=C3)nc3cccc1c32,-9.838
