DrugGEN_MOL_ID,SMILES
CDK2_01_005195,Nc1ccc(-c2nc(O)c3c(n2)c(-c2ccc(N)cc2)nc2ccccc23)cc1
CDK2_02_000042,CC(C)n1cnc2c(NCc3ccccc3O)nc(NCCCO)nc21
CDK2_02_000349,CCc1cnn2c(NCc3cccnc3)cc(N3CCCCC3CCO)nc12
CDK2_02_000330,CC(C)n1cnc2c(NCc3cccnc3)nc(NCC(O)C(F)(F)F)nc21
CDK2_01_008148,Nc1c(S(=O)(=O)O)cc(Nc2cccc(C(F)(F)F)c2)c2c1C(O)c1ccccc1C2O
CDK2_02_000405,CCCCNC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccc4ccccc4c3)c2C1
CDK2_02_000037,CCc1cnn2c(NCc3cccnc3)cc(C3CCCCC3CCO)nc12
CDK2_02_000486,CCC(Nc1nc(NCc2ccc(C(F)(F)F)nc2)c2ncn(C(C)C)c2n1)C(C)O
CDK2_02_001543,CC(C)n1cnc2c(NCc3cccc(CCC(N)O)c3)nc(N3CCOCC3)nc21
CDK2_02_000096,CC(C)c1cnn2c(NCc3ccccc3)cc(NC(CO)C(O)CO)nc12
CDK2_02_000393,CCn1cnc2c(NCc3cccc(CCC(N)O)c3)nc(N3CCOCC3)nc21
CDK2_02_001462,CCC(Nc1nc(NCc2cccc(F)c2)c2ncn(C(C)C)c2n1)C(C)O
CDK2_01_004685,Cc1ccc(Cn2c(C(C)N=C(N)c3ccccc3)nc3ccccc32)cc1
CDK2_02_000277,CCC(O)C(CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1
CDK2_01_006209,Nc1nc(O)c2ncn(C3CCN(C(=O)CP(=O)(O)O)C3)c2n1
CDK2_02_000353,Cc1cnn2c(NCc3cccnc3)cc(N3CCCCC3CCO)nc12
CDK2_01_008093,CCc1nn(-c2c(N)cc(N)cc2N)c2nc(Cc3cccc(O)c3)nc(O)c12
CDK2_02_001168,CCC(Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)O
CDK2_02_000458,CCC(Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)O
CDK2_02_000519,CCC(CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1
CDK2_02_000946,NCC[SH](O)c1cc(-c2ccccn2)c2c3c(ccc(F)c13)NC2O
CDK2_02_000959,NC(=O)C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1
CDK2_02_001524,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CDK2_02_001004,CCCCNC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccccc3F)c2C1
CDK2_01_000146,CCn1cnc2c(Nc3ccc(CC(=O)NC(N)N)cc3)nc(C)nc21
CDK2_02_000996,COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1
CDK2_02_000272,CC(C)c1cnn2c(Nc3cccc(N)c3)nc(NC(CO)C(C)C)nc12
CDK2_02_000430,CNC1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)CC1
CDK2_01_006009,CC1C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)CC1n1cnc2c(O)nc(N)nc21
CDK2_02_000987,CCC(Nc1nc(NCc2ccc(C)nc2)c2ncn(C(C)C)c2n1)C(C)O
CDK2_02_001174,CC(O)CNc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1
CDK2_02_001204,CC(C)COc1cc(Nc2ccc(S(C)(=O)=O)cc2)n2ncc(C(C)C)c2n1
CDK2_02_000679,Cc1cnn2c(NCc3cccnc3)cc(-c3ccccc3F)nc12
CDK2_02_000406,NC(=O)Cc1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
CDK2_02_001056,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCCN)nc12
CDK2_02_000674,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
CDK2_02_000590,NC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccccc3)c2C1
CDK2_01_002523,Cc1cc(C(N)N2CCc3c(n(Cc4ccc(N)cc4)c4ccccc34)C2)ccc1N
